职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,发布时间,公司规模,公司类型,公司标签,工作地点,职位描述或任职要求,规模类型
Android安卓开发助理工程师+五险一金+餐补,苏州东荃资讯科技有限公司,5-7千·13薪,苏州,大专,在校生/应届生,01-30发布,少于50人,外资（非欧美）,计算机硬件,黄石市黄金山产业配套园（中小企业园）7-8号楼,"岗位职责：1.负责本公司Android产品的测试应用开发与调试；2.根据客户的需求，与本公司其他同仁协同开发大型商用AndroidApp;3.开发应用的相关文档的编写与维护；4.主管交办的其他事项;职位要求:1.做事认真负责,态度端正；2.熟练Java语言;3.熟悉AndroidFramework,了解JNI;4.具有良好的编码习惯，能承受一定的工作压力,具有良好的团队协助精神。5.英文4级以上;6.有开发过AndroidAPP项目经验者优先;7.欢迎优秀应届毕业生投递;福利待遇：1、入职即缴纳五险一金;2、每年依据员工绩效状况调整薪资;3、每年根据年终考核发放年终奖金(1个月薪资左右)；4、推行五天8小时工作制，享受国家法定节假日；5、季度聚餐，年终尾牙抽奖；6,、节日福利;",外资（非欧美）  |  少于50人
安卓开发工程师,广州饿狼网络科技有限公司,5-6千,广州-天河区,本科,在校生/应届生,01-30发布,50-150人,民营,网络游戏,海德三道天利中央广场A座20楼2008室,"职位描述1.参与公司Android,IOS,H5SDK的技术支持，版本维护，bug修复工作。2.参与公司Android,IOS,H5SDK的性能优化，体验优化，代码设计优化等工作。3.编写SDK相关技术文档，能够独立输出完整技术方案并实现职位要求1.1年以上Android系统开发经验优先，本科应届生亦可；2.熟练掌握Java语言，熟练使用常用算法和数据结构，熟悉Object-c，熟悉H5,开发者优先;3.熟悉TCP/IP、HTTP、UDP等网络协议，熟悉数据加密方法；4.熟悉AndroidSDK,AndroidOS系统体系结构,Android环境下的数据存储,网络通信,多线程开发,进程间通信，数据库等;5.熟悉Android各版本的区别，并熟悉网络，性能和内存等方面的优化；",民营  |  50-150人
安卓工程师（实习生）,杭州启飞智能科技有限公司,200元/天,杭州-钱塘区,本科,在校生/应届生,01-29发布,50-150人,民营,计算机硬件,深圳南山区TCL国际E城E4栋A单元12楼,岗位职责：1、无人机移动端上位机应用软件开发；2、移动端数据处理或后台管理软件开发；任职资格：1、计算机相关专业本科及以上学历2、熟练掌握java语言，面向对象的编程思想，拥有良好的代码编写习惯3、熟练使用android平台API，熟悉android基本UI控件，自定义UI控件4、熟练掌握android数据存储：SQLite数据库5、熟练掌握多线程，Handler、AsyncTask、Volley框架及OKhttp的使用6、熟练掌握使用android系统提供的各种服务，例如：ActivityManager，WiFiManager应用等7、熟悉掌握Http协议上传下载网络数据，Json和XMl数据解析，熟悉xml、josn解析等开发技术8、熟悉使用CursorAdapter以及页面的交互，FFMPGE视频服务9、熟悉android缓存优化技术，UI的界面美化和Bitmap内存溢出的处理10.实习期不能少于一年,民营  |  50-150人
安卓软件工程师,深圳市华瑞数字科技有限公司,8千-1.5万,深圳-南山区,大专,在校生/应届生,01-30发布,500-1000人,民营,电子技术/半导体/集成电路,大成东路999号,"岗位职责:1、商显项目软件功能需求开发与维护2、客户软件服务，需求对接与软件跟进3、客户软件管理，工厂生产跟进4、系统完善与优化；岗位要求：1、计算机、自动化及相关专业专科及以上学历2、熟悉C/C++,熟悉Linux开发环境，Linux/Android设备驱动开发经验者优先；3、可接受相关专业优秀毕业生4、有相关行业经验者优先公司福利：1、工作时间为8小时工作制，***，享受国家法定假期，及带薪年假、婚假、丧假及产假等；2、公司为员工购买五险一金：养老保险、医疗保险、工伤保险、失业保险、生育保险+住房公积金；3、员工可购买公司股票期权，享受丰厚的年底分红；4、为员工发放季度绩效奖金、月度加班补贴；5、完善的福利制度：年休假、过节福利、结婚礼金、生日礼品等；6、公司为加班员工提供丰富的夜宵：各种应季水果、牛奶、面包、零食等；7、每年不定期组织旅游活动，周末组织室内羽毛球、篮球活动，丰富员工业余生活；8、公司为员工提供住宿，上下班班车，降低员工的生活成本；9、提供个性化、规范化、优质的成长培训计划和广阔的职业发展空间，晋升空间大；10、带薪入职培训，后续定期开展专业技能培训，提升员工专业素质。",民营  |  500-1000人
安卓APP工程师,惠州市博实结科技有限公司,6-8千,惠州,大专,在校生/应届生,01-29发布,1000-5000人,民营,通信/电信/网络设备,天府四街158号OCG国际中心A座16层,岗位职责：1、负责Androidapp开发与设计；2、负责Androidapp性能优化与问题分析；3、与项目相关人员配合共同完成应用软件的开发设计工作。职责要求：1、熟练使用使用AndroidStudio等开发功能；2、参与应用需求的分析，负责相关设计文档编写；3、熟悉多线程、内存管理、Json、加解密及Xml数据结构及数据解析、熟悉SDK开发环境及底层API调用；4、熟练掌握Android各类组件，以及界面绘制、后台运行、数据存储等原理；5、熟练掌握Android开发技能；对APP性能优化和内存优化有一定了解，熟练掌握Android代码调试和调优技术；6、具有良好的沟通技能，文档编写能力，团队合作能力；对技术有强烈的兴趣，喜欢钻研，具有良好的学习能力。,民营  |  1000-5000人
(2023届)安卓开发工程师,深圳市沃特沃德股份有限公司,6-9千,深圳-南山区,大专,在校生/应届生,12-16发布,1000-5000人,民营,通信/电信/网络设备,澄阳路116号苏州大数据产业园（原名阳澄湖国际科创园）1号楼A座901室,岗位职责：1、负责公司Android手机app产品的应用软件的开发工作；2、根据项目任务计划按时完成软件编码和单元测试工作；3、按照开发流程编写相应模块的设计文档；4、改善软件的易用性，提升用户使用体验。任职资格：1、统招大专及以上学历，计算机、通信、软件或相关专业，CET-4；2、有同行业实习工作经验优先；3、熟悉Android各组件生命周期，并能在各个周期中合理的分配资源；4、熟悉Android性能和内存优化，善于解决系统崩溃，内存溢出和兼容性问题；5、熟悉Android下网络通信机制，对TCP/IP和HTTP有一定理解和经验；6、有团队协作精神，勤勉认真，具备良好的沟通协调和管理能力。,民营  |  1000-5000人
应届生-安卓 开发工程师,曼森伯格（深圳）科技发展有限公司,1-1.5万,深圳-福田区,硕士,在校生/应届生,12-15发布,少于50人,外资（非欧美）,电子技术/半导体/集成电路,光谷软件园,,外资（非欧美）  |  少于50人
安卓开发储备岗（23届）,诚迈科技（南京）股份有限公司,3.5-3.5千,南京-雨花台区,本科,在校生/应届生,01-30发布,1000-5000人,外资（欧美）,计算机软件,大成东路999号,1.本科及以上学历，电子、自动化、计算机、通信类专业2.良好的C或者Java语言基础3.对安卓开发有浓厚兴趣,外资（欧美）  |  1000-5000人
研发应届生（安卓）,广州市弘宇科技有限公司,5-8千·14薪,广州,本科,在校生/应届生,12-30发布,150-500人,国企,通信/电信/网络设备,宜山路1999号科技绿洲三期24号楼,本科（含）以上学历，英语四级以上；精通一门编程语言，掌握数据结构和算法知识，熟悉数据库的开发与管理；有一定的模块开发设计能力；具有团队意识，较好的敬业精神；具备良好的心态和学习能力。薪资待遇：1、丰厚的薪资待遇；2、公司为员工购买五险；3、公司按12%缴费比例为员工购买住房公积金；4、员工享受法定节假日及婚假、产假等假期；5、员工入职后享受带薪年假；6、员工活动丰富，每周组织羽毛球，不定时举办篮球、聚餐、歌唱和舞蹈等活动；7、上班交通便利，珠影公交站和客村地铁口A出口左转即到。,国企  |  150-500人
嵌入式软件开发工程师,南京国兆光电科技有限公司,1.5-2.5万,南京-江宁区,硕士,在校生/应届生,01-30发布,150-500人,国企,电子技术/半导体/集成电路,城中区万达中心写字楼22-08,岗位职责：1、负责产品嵌入式软件开发；2、负责嵌入式软件调试、测试；3、协助硬件工程师进行电路调试；4、负责基于嵌入式系统的图像处理、存储、传输相关的应用开发。职位要求：1、硕士学历；2、电子、微电子、通信、测控等相关专业应届生；3、熟悉基于常用语言的嵌入式软件开发，了解常用数据结构；4、熟悉Linux或安卓系统驱动开发和移植；5、熟悉视频解码和无线传输协议。,国企  |  150-500人
前端开发工程师（iOS/Android）,深圳市莫尼迪科技有限责任公司,1-2万,深圳-宝安区,本科,在校生/应届生,01-30发布,50-150人,民营,电子技术/半导体/集成电路,相城区嘉元路1060号中翔金融大厦16F16012室(近阳澄湖中路地铁1号口),岗位描述：1、负责iOS客户端的设计、开发、测试、升级、发布和维护；2、负责Android客户端的设计、开发、测试、升级、发布和维护。任职要求：1、计算机相关专业本科及以上学历，3年以上相关开发经验，接受优秀应届毕业生；2、熟悉iOSSDK相关技术开发及应用；3、熟悉Android/Linux底层框。,民营  |  50-150人
Android开发工程师(J10693),基蛋生物科技股份有限公司,1-2万,南京-六合区,本科,在校生/应届生,01-30发布,1000-5000人,已上市,制药/生物工程,深圳市龙岗区坂田街道五和大道4023号,,已上市  |  1000-5000人
Android系统工程师(应届),深圳市深智电科技有限公司,8千-1万,深圳-宝安区,大专,在校生/应届生,01-30发布,50-150人,民营,计算机软件,上海市高光路215弄99号北斗基地高光路园区1号楼4楼,1，电子专业、计算机相关专业的应届生；2、负责android系统调试、linux系统调试、linuxdriver等相关工作；3、负责外围设备的开发和调试，比如屏、touch、I2C设备等。,民营  |  50-150人
Android工程师 (MJ000137),上海仙途智能科技有限公司,1.5-2.2万,上海-闵行区,本科,在校生/应届生,01-30发布,50-150人,民营,互联网/电子商务,成都高新西区西芯大道3号国腾园,工作职责：1.负责Android端开发框架的搭建及维护升级；2.负责Android终端应用软件和组件开发工作；3.负责自动驾驶人机交互的前后端开发，包括自动驾驶可视化、交互界面以及流程等开发。岗位要求：1.计算机相关专业，1年以上Android开发经验；2.有扎实的Java语言基础，熟悉面向对象化编程思想和设计模式；3.熟悉Android系统，熟悉Android软件的开发、测试流程，熟悉Android开发工具和测试工具的使用；4.熟悉Android编译流程，了解编译相关配置原理等技术者优先；5.有优秀的优化、调试和解决问题的能力，逻辑思维清晰严谨。,民营  |  50-150人
Android应用工程师,深圳鼎智通讯有限公司,1.5-3万·14薪,深圳-福田区,本科,在校生/应届生,01-30发布,150-500人,民营,通信/电信/网络设备,中山北路3000号 长城大厦 902,"岗位职责：1、支付终端（POS）上应用软件的开发,修改客户定制系统需求；2、富有耐心，抗压能力强，需出差现场开发解决客户的需求。3、完成上级交付的任务和工作；职位要求：1、本科以上学历，计算机、通信、软件等相关专业；（工作地点，深圳）优先应届生（Android基础好也可！）2、至少2年以上安卓开发经验，熟悉四大组件开发，AIDL服务开发。熟悉framework层开发优先。3、熟悉EMV/PBOC3.0技术规范，借贷记金融IC卡交易流程、QPBOC交易流程，熟悉POS应用的优先；4、爱好编程工作，工作严谨细致，有责任心；勤奋踏实，善于分析思考问题；5、工作严谨细致，有责任心；勤奋踏实，善于分析思考问题；6、能适应短期出差。",民营  |  150-500人
Android工程师（2023届校招）(J10859),基蛋生物科技股份有限公司,1.1-1.8万·14薪,南京-六合区,本科,在校生/应届生,01-30发布,1000-5000人,已上市,制药/生物工程,深圳市龙岗区坂田街道五和大道4023号,工作职责:1、负责Android平台应用软件的设计及开发2、负责Android平台软件代码的编写、调试及后期维护3、能够完成Android终端产品模块功能设计，开发，调试及发布4、对既有系统存在的问题能够快速分析、定位并修改任职资格:1、本科及以上学历，计算机、通信相关专业2、具备扎实的Java编程基础3、熟练使用Android各种组件并了解其内部原理，熟悉Android开发框架4、熟练掌握面向对象设计思想，熟悉常见设计模式，具备良好的编程习惯，良好的设计文档撰写能力,已上市  |  1000-5000人
BSP工程师,无锡冰河计算机科技发展有限公司,1.5-2.5万·13薪,无锡-惠山区,本科,在校生/应届生,01-30发布,50-150人,民营,计算机软件,经开区清华路与习友路交口清华路壹号木华院九号别墅瑞识科技合肥研发中心,C开发工程师岗位职责：1.	负责安卓/linux’平台统BSP开发结合硬件，中间件软件等进行联合调试；2.	负责audio，DSP，cam，GPIO，SATA，USB等模块（audio和DSP模块优先）的驱动调试。3.	负责调试文档的整理撰写。任职资格：1.	熟悉I2S，I2C，SPI，GPIO，mipi等各个总线的器件调试；2.	有RK3568，AmlogicT972平台经验优先，工作年限要求3-4年3.	计算机相关专业，熟练掌握C编程语言，拥有较强的逻辑思维能力；4.	能读懂硬件原理图设计，能与硬件沟通协调开发；5.	具有较强的中英文沟通能力，良好的沟通能力及团队合作精神；6.	优秀本科/硕士及以上应届毕业生亦可。,民营  |  50-150人
Android软件工程师（应届生）,格尔软件股份有限公司,1.2-1.8万,上海,本科,在校生/应届生,01-30发布,500-1000人,已上市,计算机软件,成都高新西区西芯大道3号国腾园,-对Java、Kotlin有较熟练的掌握-对Android开发知识具掌握全面-熟悉JNI，对C/C++代码具有基本的阅读分析能力，有开发能力优先考虑-熟悉AIDL远程服务调用-熟悉常用的Android开发框架-对Java的反射机制有足够的了解-了解Android混合开发-对MVP、MVVM等开发架构熟悉-具备计算机网络基础知识，对常用的网络协议和网络技术有所了解-对JCA、JCE、JSSE等Java安全相关开发技术有了解的优先考虑-有良好的代码编写习惯，懂得团队协作,已上市  |  500-1000人
Andriod 开发工程师,杭州普维云技术有限公司,1.5-2万,杭州-滨江区,硕士,在校生/应届生,01-30发布,50-150人,民营,计算机硬件,,研究生15-20岗位职责1.根据公司要求，负责Andriod平台产品功能迭代改进及新产品的开发;2.根据产品需求，高质量完成软件编码和功能自测。岗位要求1.计算机，软件工程等相关专业毕业，研究生学历；2.了解Andriod系统，有相关开发经验者优先；3.热爱编程，具备扎实的计算机基础，热爱学习并掌握常见的数据结构与算法设计。,民营  |  50-150人
Android 系统开发工程师（TV方向）校招,广东长虹电子有限公司,6-9千·17薪,中山,本科,在校生/应届生,01-30发布,1000-5000人,国企,家具/家电/玩具/礼品,,TV软件工程师：安卓应用方向（智能电视）1、参与海外智能电视产品软件开发及维护；2、参与内部信息管理系统开发；3、独立完成各项分配的代码撰写、编程等任务。我们希望您：1、专业：软件工程、网络工程（软件方向）、计算机软件相关专业。2、技能：熟悉计算机编程语言、熟悉安卓应用开发、独立完成文档编写。3、语言：大学英语四级，能阅读英文文档，能与客户使用英语进行书面和口头交流。4、素质：具备较强的执行力、学习能力和责任感；具备良好的沟通能力，愿意从事家电行业嵌入式开发工作。工作地址：广东省中山市南头镇兴业北路1号（公司距离南头动车站10min车程）（毗邻顺德）,国企  |  1000-5000人
Android开发工程师（应届生）,深圳市慧为智能科技股份有限公司,8千-1.4万·13薪,深圳-南山区,本科,在校生/应届生,01-30发布,150-500人,已上市,计算机硬件,,岗位职责1、参与AndroidSDK开发；2、处理客户使用SDK开发产品时问题。岗位要求1、软件工程、计算机科学与技术、物联网、数学等相关专业，本科及以上学历；2、熟练掌握JAVA等面向对象语言，有良好的编程基础和习惯,已上市  |  150-500人
Android开发工程师（实习岗）,深圳艾斯特创新科技有限公司,3-4.5千,深圳-宝安区,大专,在校生/应届生,01-30发布,50-150人,民营,电子技术/半导体/集成电路,,,民营  |  50-150人
Android实习开发工程师,广州飞磨科技有限公司,4-8千,广州,大专,在校生/应届生,01-17发布,少于50人,民营,互联网/电子商务,,,民营  |  少于50人
Android开发工程师(SMB),浙江宇视科技有限公司,1-1.5万,杭州-滨江区,本科,在校生/应届生,01-30发布,1000-5000人,民营,计算机软件,无线谷,岗位职责:1、根据业务需求，负责AndroidAPP的开发与维护；2、负责参与产品的需求讨论、设计与开发；3、对软件性能及稳定性调优；4、对软件开发过程中出现的Bug进行定位分析和修改；任职资格:1、至少精通一门语言，如C/C++/Java；2、熟练掌握Android常用UI组件的使用，熟悉常用的分析工具，熟悉多线程开发；3、熟悉AndroidSDK，AndroidNDK开发；4、熟悉Linux命令；5、学习能力强，有自驱能力，有强烈的责任心和团队精神；6、以下为加分项：有音视频、网络、安防产品工作经验；,民营  |  1000-5000人
Android开发工程师（应届生）,深圳市慧为智能科技股份有限公司,8千-1.4万,武汉-东湖新技术产业开发区,本科,在校生/应届生,01-30发布,150-500人,已上市,计算机硬件,,岗位职责1、参与AndroidSDK开发；2、处理客户使用SDK开发产品时问题。岗位要求1、软件工程、计算机科学与技术、物联网、数学等相关专业，本科及以上学历；2、熟练掌握JAVA等面向对象语言，有良好的编程基础和习惯,已上市  |  150-500人
Android开发工程师（校园招聘）,百联全渠道电子商务有限公司,1.2-1.8万·13薪,上海,本科,在校生/应届生,01-30发布,500-1000人,国企,互联网/电子商务,,岗位职责1.负责互联网电商平台安卓功能的开发工作；2.负责开发电商平台业务模块及相应功能实现；3.负责线上相关故障、疑难问题及时的排查和处理；4.配合产品、运营等，完成职责内工作及技术支撑工作。任职要求1.本科及以上学历，计算机相关专业优先；2.有安卓相关项目经验优先。,国企  |  500-1000人
Android Game 优化工程师,三星电子（中国）研发中心,9千-1.3万·13薪,南京-雨花台区,本科,在校生/应届生,01-30发布,500-1000人,外资（非欧美）,计算机软件,,"工作职责1.Android游戏体验优化，包括性能和功耗等2.Android游戏OpenGL/vulkan版本优化3.Android游戏引擎优化4.Androidframeworksdk开发和维护任职要求：1.本科及以上学历，计算机或图形学相关专业优先。2.熟悉移动端GPU的架构及渲染流程3.熟悉OpenGL/Vulkan,有GraphicAPI使用经验4.熟悉Unity/Unreal游戏引擎5.熟练掌握Java,C/C++语言6.具备良好的沟通能力7.有Graphic经验，移动端游戏性能优化等相关经验优先★请应聘人在应聘全过程中注意不要泄漏目前在职公司的商业秘密。★请确认您投递的简历不包括目前在职公司的商业秘密。",外资（非欧美）  |  500-1000人
校招软件研发工程师（Android）,万得信息技术股份有限公司,1-1.5万,南京-建邺区,本科,在校生/应届生,01-30发布,1000-5000人,民营,计算机软件,,,民营  |  1000-5000人
Android驱动工程师,深圳东创技术股份有限公司东莞分公司,1.5-2.5万,深圳-宝安区,大专,在校生/应届生,01-29发布,1000-5000人,民营,原材料和加工,,岗位要求：1、大专及以上学历，电子或计算机相关专业；2、良好的沟通能力、团队精神、快速学习的能力；3、有一定的硬件基础，能够很好的理解硬件电路原理和芯片手册；4、熟悉Linux内核，拥有三年以上Qualcomm或MTK平台手机Android驱动开发经验；5、有高通平台camera驱动开发经验者优先，有系统稳定性、功耗、性能等优化经验者优先；岗位职责：1、负责Android常规外设驱动调试（LCM、TP、Camera、Gsensor、Msensor、电源管理等外设）2、解决项目中驱动相关bug3、负责Android下新功能模块的驱动调试工作4、有良好的团队协作精神和责任心，能够承受工作压力。5、熟悉linux驱动开发，有高通QM215/SDM450/SDM660/SM6115/SM6125等平台经验优先,民营  |  1000-5000人
Android开发工程师（2023届）,上海禾苗通信技术有限公司,8千-1.3万,上海-浦东新区,本科,在校生/应届生,01-29发布,1000-5000人,已上市,通信/电信/网络设备,成都市高新西区西芯大道30号,岗位职责：1.良好的学习习惯，不断向上的学习精神；2.根据入职后模块分配，处理相关模块的bug；3.根据入职后模块分配，负责对应的需求功能开发。任职要求：1.本科及以上学历，计算机、软件等相关专业；2.沟通表达能力较好，逻辑思维清晰，有较强的责任心及目标导向意识；3.具有良好的职业道德，踏实稳重，工作细心，有团队协作精神。,已上市  |  1000-5000人
Android System优化工程师,三星电子（中国）研发中心,9千-1.3万·13薪,南京-雨花台区,本科,在校生/应届生,01-30发布,500-1000人,外资（非欧美）,计算机软件,,"工作职责：1.Android系统问题定位和解决2.Android系统性能和功耗优化3.Android系统资源管理（CPU、Memory等）4.Androidframework开发和维护任职要求：1.本科及以上学历，计算机/通信专业优先。2.精通AndroidFramework相关开发（AMS,PMS等模块）3.精通AndroidSystem/Driver相关开发4.了解Android功耗和性能优化相关知识5.熟练掌握Java,C/C++，Python语言6.具备良好的沟通能力7.有Graphic经验，AI等相关经验优先★请应聘人在应聘全过程中注意不要泄漏目前在职公司的商业秘密。★请确认您投递的简历不包括目前在职公司的商业秘密。",外资（非欧美）  |  500-1000人
Android系统开发工程师-2023届(J12663),浙江零跑科技股份有限公司,1.5-2万·14薪,,,,01-30发布,5000-10000人,民营,汽车,,,民营  |  5000-10000人
Android开发工程师,深圳红酒世界电商股份有限公司,8千-1.5万,,,,01-28发布,150-500人,民营,互联网/电子商务,,,民营  |  150-500人
Android驱动工程师,深圳东创技术股份有限公司东莞分公司,1.5-2.5万,,,,01-29发布,1000-5000人,民营,原材料和加工,吉大九洲大道中1082号中电大厦305B,,民营  |  1000-5000人
Android开发工程师（会跨平台优先）,武汉智群企业管理咨询有限公司,5千-1万,,,,01-07发布,少于50人,民营,计算机软件,深圳市宝安区西乡街道宝源路名优采购中心B座3区511室,,民营  |  少于50人
嵌入式软件工程师（应届生）,深圳市昊唐科技有限公司,12-18万/年,,,,12-26发布,150-500人,民营,汽车,智慧路18号O-PARK大厦18楼,,民营  |  150-500人
上位机工程师,上海何因生物科技有限公司,7千-1.3万·13薪,,,,01-16发布,少于50人,民营,制药/生物工程,成都市天府新区集萃路619号天府海创园2号地块1号楼,,民营  |  少于50人
Android开发工程师（23年应届）,上海卓易科技股份有限公司,8千-1.6万·13薪,,,,12-28发布,150-500人,已上市,互联网/电子商务,广东省佛山市南海区桂城深海路17号瀚天科技城A区5号楼（1号门）5楼,,已上市  |  150-500人
Android开发工程师,广东广凌信息科技股份有限公司,3-4千,,,,12-15发布,50-150人,已上市,计算机服务(系统、数据服务、维修),南海大道1029号万融大厦A座7楼,,已上市  |  50-150人
Android软件工程师（23届校招）,三星（中国）半导体有限公司,17-34万/年,,,,01-22发布,5000-10000人,外资（非欧美）,计算机软件,广州三星通信研究院,,外资（非欧美）  |  5000-10000人
Android/iOS开发工程师,上海萌果信息科技有限公司,8千-1.5万,,,,01-17发布,50-150人,民营,网络游戏,中惠国际金融中心,,民营  |  50-150人
Android应用软件开发工程师,上海甲金通信科技有限公司,10-20万/年,,,,01-17发布,50-150人,民营,通信/电信/网络设备,,,民营  |  50-150人
Android开发工程师（2023届）(J10562),中储南京智慧物流科技有限公司,7千-1.2万,南京-鼓楼区,本科,在校生/应届生,01-14发布,1000-5000人,国企,互联网/电子商务,,工作职责:1、负责智运各产品的移动客户端设计与开发；2、负责基础模块和组件的研发和维护；3、负责移动客户端的技术栈搭建，推动技术创新，通过技术提升用户体验，优化产品功能。任职资格:1、2023届统招本科及以上学历，计算机等相关专业；2、有扎实的计算机基础知识，掌握算法和数据结构，熟悉计算机网络知识；3、掌握一种及以上的编程语言，了解HTTP/HTTPS/HTTP2、TCP/IP协议；4、具备良好的责任心、较强的学习能力以及问题分析能力、良好的团队沟通与协作能力。加分项：1、有客户端相关实际项目经验或互联网公司实习经验者优先；2、有开源项目，或者参与过项目实践者优先。,国企  |  1000-5000人
Android开发工程师（实习/应届）,广州市鑫澳康科技有限公司,2.5-3.5千,广州-黄埔区,大专,在校生/应届生,01-13发布,150-500人,民营,电子技术/半导体/集成电路,,工作职责：1.根据任务安排，学习和熟悉公司项目与工具；2.根据产品设计，参与需求分析、开发、调试工作；3.负责触屏交互产品（Android平台）应用软件开发及维护；4.与项目相关产品、测试、前后端等人员沟通和合作；5、负责完成领导分配的其他工作。岗位要求：1、计算机相关专业；2、对Android系统架构有基本的理解，了解Java程序设计、JSON/XML解析、常用设计模式、基本的数据结构与算法、HTTP协议等；3、了解AndroidSDK各种组件，包括网络通讯、数据存储、UI布局、动画与控件等的使用，熟悉图形编程、多线程编程、网络编程、Service等；4、善于沟通与团队协作、责任心强、热爱学习，具有较强的执行能力和抗压能力，能保证项目的进度和质量；,民营  |  150-500人
Android开发工程师(J11141),广州中海达卫星导航技术股份有限公司,1-1.5万,广州-番禺区,本科,在校生/应届生,01-12发布,1000-5000人,已上市,电子技术/半导体/集成电路,虹梅路2007号三期1号楼9楼,"工作职责:1、根据公司要求完成基于Android系统平台的应用程序开发设计、调试工作；2、根据项目任务计划按时完成软件高质量编码和自测工作；3、对安卓开发有系统化的知识体系，良好的学习能力；4、按时按需完成软件的维护及更新。任职资格:1、本科及以上学历，地理信息或测绘相关专业；2、具备扎实的Java语言基础,能熟练使用AndroidSDK；3、熟练掌握AndroidUI开发，包括各种控件、布局方式、动画和自定义控件的使用方法；4、有良好的编程习惯，对安卓开发有系统化的知识体系，良好的学习能力。5、熟悉C/C++语言，熟悉NDK开发者优先。",已上市  |  1000-5000人
android驱动工程师（应届生）,深圳市阿龙电子有限公司,8千-1万,深圳-宝安区,本科,在校生/应届生,01-12发布,500-1000人,民营,电子技术/半导体/集成电路,,"职位描述1）精通C语言、C++2）本科电子或计算机等相关专业3）熟悉linux环境的应用编程,对嵌入式系统的硬件原理有一定了解，具有良好的英文文档阅读能力5）主要负责内核驱动调试和设备驱动开发6）能吃苦耐劳7）有MTK\Allwinner\Rockchip平台开发经验者优先员工一经录用，享有以下待遇：1、上班时间：5.5天制（周六4小时)：2、带薪假期：享受国家法定节假日、超长带薪春节假、婚假、产假、丧假、病假等法定带薪假期；3、带薪培训：新人岗前培训、职业技能培训等；4、入职即享受购买五险（养老、医疗、工伤、生育、失业）、住房公积金；5、团队活动：年度旅游、趣味活动、生日会、下午茶、年会等；6、提供住宿：四人间，空调、热水器、衣柜、书桌、配置齐全。",民营  |  500-1000人
Android开发工程师,广州市森锐科技股份有限公司,3.5-5千,广州-黄埔区,大专,在校生/应届生,01-11发布,150-500人,已上市,多元化业务集团公司,,,已上市  |  150-500人
Android应用开发工程师—应届毕业生,锦图计算技术（深圳）有限公司,7千-1.1万,深圳-南山区,本科,在校生/应届生,01-10发布,50-150人,民营,电子技术/半导体/集成电路,,Android应用开发工程师（应届毕业生）岗位职责：1、负责Android系统产品需求评审、设计评审、方案设计，设计文档输出；2、负责android车机应用、framework层开发；3、按软件需求完成界面、框架搭建、业务逻辑功能等设计；4、按照项目计划，在保证质量的前提下，按时完成开发任务；5、配合其他开发人员、测试人员，完成产品设计和发布；职位要求：1、相关本科及以上学历，计算机、软件、电子、音视频多媒体及相关专业;2、对Android应用开发感兴趣，有Java编程知识，对程序设计和良好的编码有定的认知；3、对Android应用开发框架(如：MVP)、感兴趣，有自定义控件的知识;4、对多线程、Service、aidl、JNI编程开发有一定的知识掌握;5、有Framework底层开发的认知，能够在framework层进行源码修改以及增加功能的基础上进行探索或感兴趣；6、能够承受较强的工作压力，有一定的逻辑思维分析、表达、沟通能力；,民营  |  50-150人
