职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,发布时间,公司标签,工作地点,职位描述或任职要求,规模类型
汽车电子数据分析鉴定工程师,四川华大科技司法鉴定所,6千-1.1万,北京-朝阳区,本科,在校生/应届生,01-31发布,检测，认证,广东省广州市黄埔区新瑞路16号3号楼6层,中专隆天知识产权运营（深圳）股份有限公司为隆天知识产权集团旗下从事知识产权竞争情报分析、知识产权大数据服务与知识产权产业化运营的专项平台公司。中专隆天注册在深圳，总部位于北京，以“数据驱动、价值萃取、精准匹配、运营未来”为运营理念，以“多维度知识产权竞争情报分析”为核心，以“知识产权+科创投”为运营模式，是一家实现了“科技创新、投资孵化、知识产权、智慧互联”融合发展的高端科技企业服务优秀公司。根据公司业务发展需要，中专隆天2022秋季校招正式开启，具体需求如下：工作地点：北京、深圳、成都岗位职责：1、辅助项目总监或项目经理完成相关行业、政策、法律、市场、技术信息调查整理；2、辅助项目总监或项目经理做好知识产权数据归类、分析与整理；3、辅助完成分析图表的制作与可视化。任职条件：1.	在校大学生或研究生；2.	具有工学或理学（包括：机电、机械、通信、物理、自动化、计算机、医药、有机化学、生物、光电、微电子、数学）相关学科背景；3.	具有较强的文字表达能力、沟通能力以及数据信息收集整合能力；4.	熟练使用PPT、WORD、EXCEL等办公软件；5.	实习生150-200元/天,民营  |  50-150人
人力资源管培生（数据分析方向）,中国大地财产保险股份有限公司信用保证险事业部,7千-1.2万·15薪,,,,01-31发布,保险,永威时代中心,,国企  |  10000人以上
商务专员-数据分析(校招）,埃地沃兹贸易（上海）有限公司,8千-1.1万,,,,01-31发布,电子技术/半导体/集成电路,,,外资（欧美）  |  500-1000人
数据分析师,安徽老乡鸡餐饮股份有限公司,5-8千,广州-越秀区,大专,在校生/应届生,01-31发布,餐饮业,武汉理工大学出版社,"岗位职责：1.对行情基本面和策略面进行分析，预测未来走势，撰写分析报告;2.通过财经新闻，搜集和整理相关数据进行投资工作;了解和分析相关市场制度;3、能够在指定时间内处理大量财经和金融信息，并且提炼重点；4、通晓金融市场基本逻辑和指标，识别出对市场有影响力的重大要闻；5、具有一定的联想能力，能够从现有市场中识别未来可能需要关注的重点；6、能在工作中进步，并追求创造性的“生产”内容，提供更多的创新建议。职位要求：1、大专及以上学历、有金融、经济、财会等经管类专业背景优先经验者优先考虑；2、对金融市场投资感兴趣，热爱交易，学习能力强，抗干扰抗压能力强；3、沟通能力强，逻辑思路清晰，能在压力下工作，具有高度责任心和团队合作精神；4、熟练地office办公软件应用能力，耐心，细心。【福利待遇】1、薪资：底薪6000起+月综合奖金+绩效奖金上不封顶，综合薪资9000以上，有能力者可派往分公司担任管理者，2、上班时间：5天6小时工作制，周一至周五早上9：30~17：00；6小时工作制，周末双休；享受双假期（不需要补休），国内的法定节假日+国外的节假日（圣诞节复活节）3、丰富的企业文化活动，篮球赛、羽毛球、台球等；年度旅游活动（由各分公司自行安排）4、舒适的办公环境，良好的工作氛围，互帮互助的学习热潮，公司有微波炉，方便我们的同仁。【上班时间】1周一至周五上午9：30-12:00，下午13:30-17:002周末双休、国家法定假期休假。3带薪年假、婚假、产假、陪产假等；公司信息广州丰荣发展有限公司涉及各大投资领域，包含销售、开发、代理、金融等领域。全称：广州丰荣发展有限公司丰荣发展成立于2015年，注册资金1亿元。企业发展理念：稳定、发展、改革、创新企业文化理念：企业善待员工，员工心系企业，员工和企业共同发展管理创造价值，服务提升优势，品质至上，服务至优是集团公司的发展理念。团结、创新、务实、奋进是公司志不渝的追求。公司倍加珍惜每一分荣誉，坚持：质量***、用户至上、以质兴业以优取胜""的经营宗旨，不断将优秀人才贡献社会，与社会各界优势互补、同创辉煌！",民营  |  10000人以上
数据分析实习生,亚信科技OBC,3-4千,北京-朝阳区,本科,在校生/应届生,01-31发布,计算机软件,广东省广州市黄埔区新瑞路16号3号楼6层,中专隆天知识产权运营（深圳）股份有限公司为隆天知识产权集团旗下从事知识产权竞争情报分析、知识产权大数据服务与知识产权产业化运营的专项平台公司。中专隆天注册在深圳，总部位于北京，以“数据驱动、价值萃取、精准匹配、运营未来”为运营理念，以“多维度知识产权竞争情报分析”为核心，以“知识产权+科创投”为运营模式，是一家实现了“科技创新、投资孵化、知识产权、智慧互联”融合发展的高端科技企业服务优秀公司。根据公司业务发展需要，中专隆天2022秋季校招正式开启，具体需求如下：岗位职责：1、完成相关产业、投资、并购、政策、法律、市场、技术信息调查研究2、检索专利与科技文献，完成技术竞争情报分析项目研究3、完成知识产权数据检索、归类与筛选，完成相关分析图表的可视化工作4、参与企业科创板上市知识产权辅导项目、科创投资项目筛选与科创项目技术尽调任职条件：1、本科及以上学历，机电、机械、通信、物理、自动化、计算机、医药、有机化学、生物、光电、微电子、数学、统计等相关学科背景。2、具有较强的文字表达能力、沟通能力以及数据信息分析整合能力，熟练使用PPT、WORD、EXCEL等办公软件；3、具有快速学习新知识的能力和较好的逻辑思维能力以及很好的行业和技术理解能力；4、同时具有知识产权学科背景或经历者可以优先考虑。薪酬待遇：1、公司为员工提供五险一金、额外商业保险及行业内具有充分竞争力的薪酬待遇、培训机会与晋升空间；2、公司提供健康体检、带薪年假、年终奖励；3、应届毕业生7000-12000元/月，特别优秀者另议。,民营  |  10000人以上
专业服务助理(投标/行业研究和数据分析支持),毕马威信息技术服务（南京）有限公司,5-6千,深圳,本科,在校生/应届生,01-31发布,专业服务(咨询、人力资源、财会),,ScopeofWork催收部日常数据的整理，统计和分析，用于日常催收部各业务团队performance的管理和检测，并辅助管理层对催收策略的决策。KeyResponsibilities1.	提供及时、精确的评分卡和资产效能分析。2.	提供有意义的即席专案分析和管理信息报告以支持更有效的风险管理。3.	确保及时地报告信贷/效能相关信息给高级管理层。4.	提供高质量MIS报告以及分析结果。5.	处理常规核查（如集团要求的查核及监管要求的查核）6.	能够积极完成上级指派的任务。7.	参与分析型数据集市的设计、优化和维护，确保提供最新的信息，与业务操作保持同步。8.	与其他团队成员协同合作，建立和完善MIS管理信息处理系统的报告制度和联动机制，以提高效率，对业务需求作出快速反应。职位要求：1.大学本科及以上，金融，统计学，数学等理科相关专业优先，有金融领域数据分析工作经验优先。2.熟悉数据统计，分析等相关专业知识，至少熟悉运用以下其中一种数据统计分析工具：SAS，R，SPSS，Python，SQL等，并熟练使用Excel。3.逻辑思维能力出色，有较强的工作自主意识。4.英语4级及以上，英语读写能力良好。,外资（欧美）  |  500-1000人
[校招] 销售支持（数据分析） Sales Support Officer,达飞轮船（中国）有限公司,7-8千·13薪,,,,01-30发布,交通/运输/物流,,,外资（欧美）  |  1000-5000人
数据分析实习生,上海数道信息科技有限公司,200元/天,北京,本科,在校生/应届生,01-30发布,计算机服务(系统、数据服务、维修),武汉理工大学出版社,工作职责:1、通过选择相关工具，并进行二次开发，协助团队，实现外部公开数据的抓取、转化、可视化呈现，并基于可视化呈现进行分析，给出市场趋势的预测。2、维护自研和购买系统正常运行，定期进行数据备份，确保抓取数据和分析结果的安全。任职资格:1、本科及以上计算机、统计类相关学历；2、具备一定的编程语言如Python等基础及较强的编程能力；3、对诸如ELK、PowerBI、Tableau等可视化系统熟悉；4、优秀的学习能力，良好的团队合作意识和沟通能力;5、英语CET-4及以上水平，读写熟练。,民营  |  少于50人
数据分析实习生,亚信科技OBC,3千及以下,北京-朝阳区,本科,在校生/应届生,01-31发布,计算机软件,,中专隆天知识产权运营（深圳）股份有限公司为隆天知识产权集团旗下从事知识产权竞争情报分析、知识产权大数据服务与知识产权产业化运营的专项平台公司。中专隆天注册在深圳，总部位于北京，以“数据驱动、价值萃取、精准匹配、运营未来”为运营理念，以“多维度知识产权竞争情报分析”为核心，以“知识产权+科创投”为运营模式，是一家实现了“科技创新、投资孵化、知识产权、智慧互联”融合发展的高端科技企业服务优秀公司。根据公司业务发展需要，中专隆天2022秋季校招正式开启，具体需求如下：岗位职责：1、完成相关产业、投资、并购、政策、法律、市场、技术信息调查研究2、检索专利与科技文献，完成技术竞争情报分析项目研究3、完成知识产权数据检索、归类与筛选，完成相关分析图表的可视化工作4、参与企业科创板上市知识产权辅导项目、科创投资项目筛选与科创项目技术尽调任职条件：1、本科及以上学历，机电、机械、通信、物理、自动化、计算机、医药、有机化学、生物、光电、微电子、数学、统计等相关学科背景。2、具有较强的文字表达能力、沟通能力以及数据信息分析整合能力，熟练使用PPT、WORD、EXCEL等办公软件；3、具有快速学习新知识的能力和较好的逻辑思维能力以及很好的行业和技术理解能力；4、同时具有知识产权学科背景或经历者可以优先考虑。薪酬待遇：1、公司为员工提供五险一金、额外商业保险及行业内具有充分竞争力的薪酬待遇、培训机会与晋升空间；2、公司提供健康体检、带薪年假、年终奖励；3、应届毕业生7000-12000元/月，特别优秀者另议。,民营  |  10000人以上
地理信息数据分析工程师,广东国垚信息科技有限公司,5千-1万,广州,本科,在校生/应届生,01-31发布,建筑/建材/工程,虹口区塘沽路309号东泰大厦,,民营  |  50-150人
数据分析员,上海申美饮料食品有限公司,5-7千,杭州-上城区,大专,在校生/应届生,01-30发布,快速消费品(食品、饮料、化妆品),天河区林和西路161号中泰国际广场B塔38楼,岗位职责：1、根据公司经营指标，负责商品销售运营信息收集、分析并提供运营建议和市场建议；2、根据各季商品销售与往年同期商品销售，数据进行分析对比，参照订货季节产品的节气规则，做出所有区域、各品类的销售节奏，并对下一季度产品整体情况进行宏观预测；3、负责组织并参与市场调研工作，收集竞争品牌的商品销售运营数据及商品发展数据信息，了解市场商品销售动态，为商品开发方向作参考；？4、新老品畅滞销及各市场货品库存消化流转进度跟进；？5、评审会提供历年销售分析与数据支持；订货会订单数据整理与分析。任职要求：1、熟悉商品运作管理，熟悉商品订货、分析、终端货品运营；？2、对数据敏感，有很强的逻辑分析能力，熟悉掌握数据分析逻辑及方法，精通数据分析工具与技巧提升工作效率；3、能用数据指导运营与销售；4、统计学、数学、财务、市场营销专业优先；5、爱岗敬业，善于沟通与协调，做事认真细致，具有高度的责任心，具备良好的职业道德素养；,合资  |  500-1000人
市场数据分析专员,亚信科技（中国）有限公司,7千-1万·13薪,重庆,本科,在校生/应届生,01-31发布,计算机软件,武汉理工大学出版社,,已上市  |  10000人以上
数据分析实习生,亚信科技OBC,3千及以下,北京-朝阳区,本科,在校生/应届生,01-31发布,计算机软件,广东省广州市黄埔区新瑞路16号3号楼6层,中专隆天知识产权运营（深圳）股份有限公司为隆天知识产权集团旗下从事知识产权竞争情报分析、知识产权大数据服务与知识产权产业化运营的专项平台公司。中专隆天注册在深圳，总部位于北京，以“数据驱动、价值萃取、精准匹配、运营未来”为运营理念，以“多维度知识产权竞争情报分析”为核心，以“知识产权+科创投”为运营模式，是一家实现了“科技创新、投资孵化、知识产权、智慧互联”融合发展的高端科技企业服务优秀公司。根据公司业务发展需要，中专隆天2022秋季校招正式开启，具体需求如下：岗位职责：1、完成相关产业、投资、并购、政策、法律、市场、技术信息调查研究2、检索专利与科技文献，完成技术竞争情报分析项目研究3、完成知识产权数据检索、归类与筛选，完成相关分析图表的可视化工作4、参与企业科创板上市知识产权辅导项目、科创投资项目筛选与科创项目技术尽调任职条件：1、本科及以上学历，机电、机械、通信、物理、自动化、计算机、医药、有机化学、生物、光电、微电子、数学、统计等相关学科背景。2、具有较强的文字表达能力、沟通能力以及数据信息分析整合能力，熟练使用PPT、WORD、EXCEL等办公软件；3、具有快速学习新知识的能力和较好的逻辑思维能力以及很好的行业和技术理解能力；4、同时具有知识产权学科背景或经历者可以优先考虑。薪酬待遇：1、公司为员工提供五险一金、额外商业保险及行业内具有充分竞争力的薪酬待遇、培训机会与晋升空间；2、公司提供健康体检、带薪年假、年终奖励；3、应届毕业生7000-12000元/月，特别优秀者另议。,民营  |  10000人以上
数据分析,上海递家品牌管理有限公司,6-8千,南京-鼓楼区,本科,在校生/应届生,01-30发布,计算机软件,彩频路11号广东软件园F栋12-13楼,这个职位将为毕马威中国投资咨询部门提供日常的投标流程支持服务。我们的目标是从创造客户价值的角度，为投资咨询部门制作高质量的客户服务建议书，提供行业研究和数据支持，促进并推动投标提案流程，实现我们市场份额的转型增长并以有效的方式拓展我们在核心业务中的领先地位。这个职位需要与毕马威投资咨询前线部门，其他业务部门，区域的***和项目经理合作，参与统一规划并制作客户服务建议书.岗位职责：-使用毕马威模板协助团队创建并制作客户服务建议书-协助团队通过当前共享数据库丰富客户服务建议书（包括PPT模板更新，行业研究和投资关注点，工作范围和项目行业经验等）-与在佛山和印度毕马威交付中心团队合作共同创建客户服务建议书（如需要）-根据毕马威现有的相关网站及工具来支持客户服务建议书的创建-与团队积极沟通，以明确他们的服务要求-协助团队针对目标公司和行业进行研究-协助团队提供数据分析支持-协助团队对客户服务建议书做相关的翻译（如需要）岗位要求：-本科以上学历-能够在独立或团队的环境中工作，对商业投资和行业研究有一定的兴趣-良好的口头表达和书写能力，CET-6或同等水平-熟练运用Powerpoint和Excel-工作态度积极，乐于挑战新鲜事物,民营  |  150-500人
数据分析专员,优锐医药科技（上海）有限公司,8千-1万,苏州-工业园区,本科,在校生/应届生,01-31发布,制药/生物工程,大港工业城南海路9-27号,工作职责：1、负责数据湖仓一体产品选型、设计、开发和测试；2、负责数据建模、调度系统、数据预处理子系统的设计和开发；3、负责数据湖仓一体ETL流程的优化及解决ETL相关技术问题；4、参与数据产品设计和评审，保障数据平台架构稳定；5、为日常运营活动提供数据支持，并且在一定程度上给予评估和建设性建议；6、指导和协助其他团队成员，共同建立起商业智能分析工作的流程、规范和方法；7、完成公司安排的其他数据相关的工作和任务。任职资格：1、计算机相关、数学/应用数学本科及以上学历；2、熟悉python及其数据分析相关的库；3、熟悉java开发语言；3、熟悉Hadoop生态圈及其原理；4、熟悉PowerBI或FineReport/BI报表工具；5、熟悉Oracle、SQLServer、mysql、postgresql等主流数据库，熟练运用SQL、PL-SQL程序语言、存储过程；6、对数据敏感，具有良好的逻辑思维能力、沟通能力和表达呈现能力，对数据挖掘方法和工具有一定了解。,外资（非欧美）  |  150-500人
数据分析师,广东大家食品有限公司,3.8-6.5千,肇庆-端州区,本科,在校生/应届生,01-18发布,农/林/牧/渔,,,民营  |  150-500人
数据分析岗（实习）,现代财产保险（中国）有限公司,3-4.2千,北京-西城区,本科,在校生/应届生,01-17发布,保险,,1、协助开展业务数据分析2、协助建立风控指标体系3、协助建立信用风控体系任职要求1、金融、统计、计算机、数学等相关专业在校生，数理基础扎实2、熟练使用Excel、Python，熟悉常用统计模型。3、每周出勤三天以上，可以连续实习2个月及以上,合资  |  150-500人
数据分析师,武汉珞伽启思信息科技有限公司,800元/天,武汉-武昌区,硕士,在校生/应届生,01-16发布,文字媒体/出版,,"本公司招聘各个领域的数据分析人才，主要以经管类调研数据分析为主，提供咨询方案。一、任职要求：1.学历要求：目前仅接受国内研究生及以上（条件优秀的本科生亦可），及优秀的海外大学留学生。2.专业要求范围：商科、管理、金融、工商管理、数学、人力、市场营销、法律、文学、经济、会计、政治、物流、计算机、教育、国贸、统计、MBA、机械、信息工程等等。要是你会数据分析类、如PYTHON、EVIEWS，SPSS，STATA，MATLAB等将是本公司着重培养人才！薪资将会比普通专业的更加丰厚！3.态度要求：热爱写作,诚信负责，工作积极配合。具备良好的职业道德，具有充足的写作时间。为什么选择我们？本公司不限工作时间、不限工作地点、工作灵活，接tasks后，只要能在规定时间完成即可！待遇丰厚！所有的工作地点和时间均由你自己安排，任务由你选择；欢迎加入我们公司，希望广大贤士能来共创事业。如果有意向，直接投递简历至邮箱。",事业单位  |  50-150人
Research Scientist 数据建模与数据分析研究员,牛津大学（苏州）科技有限公司,28-30万/年,苏州-工业园区,博士,在校生/应届生,01-16发布,学术/科研,,,外资（欧美）  |  50-150人
数据分析实习生,广州市福思特科技有限公司,3-4千,广州-海珠区,本科,在校生/应届生,01-17发布,计算机软件,,职责描述：1.协助进行新商科相关课程产品设计、案例研究；2.协助开展教学软件案例内容相关数据分析工作；3.为电商运营、商业决策、活动优化提供信息及数据支持。任职要求：1.本科或以上学历，计算机科学与技术、数据科学与大数据技术等相关专业优先；2.有校内外数据分析项目经验优先；3.熟练使用数据统计分析工具，熟练掌握Python，具有优秀的数据分析技能与报告呈现能力；4.逻辑能力强，具备数据敏感度及问题分析解决能力，有预判性思维；5.出色的沟通表达与跨团队协调能力。实习要求实习3个月，每周3天起,民营  |  150-500人
数据分析实习生,上海时代光华教育发展有限公司,150元/天,上海-静安区,本科,在校生/应届生,01-16发布,计算机软件,,【数据分析实习生·岗位JD】工作职责：1、整理各项业务数据，以月报等形式汇报更新；2、协同参与业务数据系统的日常运营、管理和维护工作；3、与团队内部以及需求部门进行有效沟通，及时跟进进度以及解决相关数据问题；4、协助完成部门其他日常工作。任职资格：1、本科及以上学历；2、对数据分析相关工作有兴趣，对数据敏感3、了解多种统计、挖掘方法，和一般大数据分析方法；4、积极好学、细致耐心、责任感强、善于学习，有良好的团队合作精神；5、熟练使用操作Excel、SPSS/SAS等相关数据分析软件者优先；6、有python学习经验者优先。,民营  |  500-1000人
数据分析师,武汉珞伽启思信息科技有限公司,800元/天,武汉-武昌区,硕士,在校生/应届生,01-16发布,文字媒体/出版,,"本公司招聘各个领域的数据分析人才，主要以经管类调研数据分析为主，提供咨询方案。一、任职要求：1.学历要求：目前仅接受国内研究生及以上（条件优秀的本科生亦可），及优秀的海外大学留学生。2.专业要求范围：商科、管理、金融、工商管理、数学、人力、市场营销、法律、文学、经济、会计、政治、物流、计算机、教育、国贸、统计、MBA、机械、信息工程等等。要是你会数据分析类、如PYTHON、EVIEWS，SPSS，STATA，MATLAB等将是本公司着重培养人才！薪资将会比普通专业的更加丰厚！3.态度要求：热爱写作,诚信负责，工作积极配合。具备良好的职业道德，具有充足的写作时间。为什么选择我们？本公司不限工作时间、不限工作地点、工作灵活，接tasks后，只要能在规定时间完成即可！待遇丰厚！所有的工作地点和时间均由你自己安排，任务由你选择；欢迎加入我们公司，希望广大贤士能来共创事业。如果有意向，直接投递简历至邮箱。",事业单位  |  50-150人
金融数据分析师,上海梵基股权投资管理有限公司,8千-1.5万·13薪,上海,本科,在校生/应届生,01-16发布,金融/投资/证券,,岗位职责：1.按照基金经理的投资策略思路，去挖掘并清洗数据，将概念与想法转化为数学模型并将算法实现为代码，完成对应的数据处理；2.参与交易策略的研发、生成可行的盈利策略，挖掘各种交易信号，具体涉及期权等复杂衍生品定价模型的研究、交易想法的策略化、数据处理、研报复现等；3.交易相关数据的日常统计、整理及维护；4.熟练使用编程语言（Python、C++等）独立撰写程序，分析统计基金交易盈亏和风控数据，协助管理投资组合，维护基金的业绩归因分析，并提出改进意见；5.完成基金经理交代的其它工作。职位要求：1.学历要求：***本科及以上学历，数学、物理、商业分析、金融工程、统计、数量经济、数据科学等相关理工类专业，硕士、博士优先；2.工作经验：1-3年，可接受应届毕业生；3.专业要求：具备数据建模能力，擅于市场信息及数据的搜集，并能根据研究课题的需要进行信息整合；熟练使用编程语言（Python)，精通Pandas/Numpy等高效处理数据模块；扎实的数理功底、较强的逻辑分析能力、学习能力，具备创新意识和量化思维，对股票、期货、外汇等金融产品以及期权定价模型与期权交易结构有一定了解；有金融时间序列数据分析经验优先，能够独立完成基于数据提出假设、检验、研究并达成结论；4.英语水平：精通英语听说读写，CET-6（含）以上，有海外留学经验者优先；5.个性要求：良好的职业道德和高度的安全保密意识，工作细致严谨，责任心强，良好的沟通能力和团队合作精神，对金融行业有兴趣，有志长期发展，勇于接受挑战，愿与公司共同成长。,民营  |  少于50人
Research Scientist 数据建模与数据分析研究员,牛津大学（苏州）科技有限公司,28-30万/年,苏州-工业园区,博士,在校生/应届生,01-16发布,学术/科研,,,外资（欧美）  |  50-150人
业务数据分析,安徽省才莱商贸有限公司,4.5-6千,合肥,本科,在校生/应届生,01-16发布,批发/零售,,,民营  |  500-1000人
数据分析师,武汉珞伽启思信息科技有限公司,800元/天,武汉-武昌区,硕士,在校生/应届生,01-16发布,文字媒体/出版,,"本公司招聘各个领域的数据分析人才，主要以经管类调研数据分析为主，提供咨询方案。一、任职要求：1.学历要求：目前仅接受国内研究生及以上（条件优秀的本科生亦可），及优秀的海外大学留学生。2.专业要求范围：商科、管理、金融、工商管理、数学、人力、市场营销、法律、文学、经济、会计、政治、物流、计算机、教育、国贸、统计、MBA、机械、信息工程等等。要是你会数据分析类、如PYTHON、EVIEWS，SPSS，STATA，MATLAB等将是本公司着重培养人才！薪资将会比普通专业的更加丰厚！3.态度要求：热爱写作,诚信负责，工作积极配合。具备良好的职业道德，具有充足的写作时间。为什么选择我们？本公司不限工作时间、不限工作地点、工作灵活，接tasks后，只要能在规定时间完成即可！待遇丰厚！所有的工作地点和时间均由你自己安排，任务由你选择；欢迎加入我们公司，希望广大贤士能来共创事业。如果有意向，直接投递简历至邮箱。",事业单位  |  50-150人
数据分析,浙江东日股份有限公司,1-2万,温州-鹿城区,硕士,在校生/应届生,01-16发布,多元化业务集团公司,,"任职要求：1、***硕士及以上学历2、具有扎实的数学基础，熟悉概率、统计理论，掌握一定的数据研究方法；3、精通Excel、PowerQuery、熟练使用MySQL或Oracle等数据库的操作,了解Hadoop等分布式架构；4、掌握R、Python或MATLAB等编程语言；5、具备严谨的逻辑思维、持续学习能力；6、取得CDA认证者优先。岗位职责：1、深入理解业务数据分析需求，面向业务开展数据服务；2、通过API收集数据，掌握较好的数据清洗及ETL技术，负责生产标准数据；3、对标准数据进行挖掘，实施数据建模；4、数据分析的流程、规范和方法建立，及相关文档的撰写；5、配合数据中台的建设及实施。",已上市  |  1000-5000人
数据分析员,江苏东昂科技有限公司,4-5.5千·13薪,南京-雨花台区,大专,在校生/应届生,01-16发布,新能源,,【岗位职责】1.负责公司业务、产品线数据、日常经营数据的整理和分析;2.熟悉使用excel、word等办公软件，有上进心;3.深入理解业务，通过数据分析为业务团队提供数据支持;4.负责通过系统后台的数据进行数据较验、抽取、报送、报表查询等技术支撑工作。【任职要求】1.计算机、数学或统计学专业专科以上学历;2.熟悉EXCEL各类函数、对PPT等办公软件有一定的经验;3.具有一定的文档编写能力，能够编写、整理项目实施相关方案文档；4.熟悉MySQL、MongoDB等数据库操作；5.对数据敏感、有较强的逻辑思维能力和独立专项分析能力;6.具有良好的沟通能力，能清晰表达问题内容。7.具备良好团队协作精神和责任心，有较强的抗压能力；8.具有一定的文档编写能力，能够编写、整理项目实施相关方案文档；9.有政府、运营商、大中型企业服务经验者优先；【工作地点】花神大道23号8号楼4楼江苏东昂科技有限公司,民营  |  50-150人
数据分析实习生,北京九畴科技有限公司,4.5-6千,北京-海淀区,大专,在校生/应届生,01-16发布,计算机软件,,任职要求：1、大二及以上学生，可全职工作2个月以上；2、有强烈的责任感和良好的沟通能力，能进行高效团队协作；3、踏实、认真、认可并愿意承担基础性工作4、有较好的逻辑思维能力，对数据敏感性。               5、熟练使用Excel，熟练函数的使用。                     6、统计学专业或有数据分析经验优先。,民营  |  500-1000人
科研数据分析师,武汉珞伽启思信息科技有限公司,800元/天,武汉-武昌区,硕士,在校生/应届生,01-16发布,文字媒体/出版,,"本公司招聘各个领域的数据分析人才，主要以经管类调研数据分析为主一、任职要求：1.学历要求：目前仅接受国内研究生及以上（条件优秀的本科生亦可），及优秀的海外大学留学生。2.专业要求范围：商科、管理、金融、工商管理、数学、人力、市场营销、法律、文学、经济、会计、政治、物流、计算机、教育、国贸、统计、MBA、机械、信息工程等等。要是你会数据分析类、如PYTHON、EVIEWS，SPSS，STATA，MATLAB等将是本公司着重培养人才！薪资将会比普通专业的更加丰厚！3.态度要求：热爱写作,诚信负责，工作积极配合。具备良好的职业道德，具有充足的写作时间。为什么选择我们？本公司不限工作时间、不限工作地点、工作灵活，接tasks后，只要能在规定时间完成即可！待遇丰厚！所有的工作地点和时间均由你自己安排，任务由你选择；欢迎加入我们公司，希望广大贤士能来共创事业。如果有意向，请投递简历。",事业单位  |  50-150人
数据分析,浙江东日股份有限公司,8-12万/年,温州-鹿城区,本科,在校生/应届生,01-15发布,多元化业务集团公司,,,已上市  |  1000-5000人
反欺诈岗（数据分析）,深圳市零在小额贷款有限责任公司,6-8千,深圳-福田区,大专,在校生/应届生,01-15发布,金融/投资/证券,,岗位职责：1、负责集团内部业务数据报表整理、分析，并输出相应的数据报告；2、动态监测相关业务数据指标，及时更新及维护数据报表；3、协助反欺诈部日常事务工作。任职要求：1、大专及以上学历，数学、计算机、统计学等相关专业优先，优秀本科应届毕业生亦可考虑；2、熟练掌握excel表格函数的应用，具备报表制作、数据报告分析能力;3、对数据分析有强烈兴趣，具备逻辑思维，能快速理解业务，发掘业务细节和数据之间的联系优先考虑；4、认真细致、积极主动，具有良好的沟通能力及一定的承压能力。5、精通粤语优先考虑；我们真诚邀请不懈追求、富于团队精神的您加入到我们队伍中来!我们将为您提供以下福利待遇：1、舒适、整洁、开放的办公环境，设有：公司茶水间、图书馆、游戏室、健身器械；2、每周五天工作制，每天7.5小时工作时间，周末双休；3、入职即为每一位员工提供“五险一金”等福利保障；4、在职期间享受各类法定有薪假期，逢节日发放节日礼金；5、每年享有调薪和年终奖金发放机会；6、定期组织员工聚餐及各类文娱活动；7、享受弹性积分福利，积分可兑换不同形式的奖励；8、良好的内、外部培训机制，为每一位员工快速实现自我提升和成就自我创造条件；9、广阔的职业发展空间，为每一位员工提供公平、平等、丰富的晋升机会和职业发展平台。,外资（非欧美）  |  150-500人
数据分析助理,厦门弘有信信息技术服务有限公司,3.5-5千·13薪,厦门,本科,在校生/应届生,01-14发布,计算机服务(系统、数据服务、维修),,我司在戴尔（中国）厦门总部的服务团队，因业务发展需要，诚聘如下职位：岗位名称：数据分析助理岗位职责：负责企业产品数据管理、维护和支持任职要求：1、专业不限，本科以上学历，英语通过CET4及以上，熟悉office日常办公软件，实习生或应届生亦可。2、因支持欧美业务，约每2个月会有5天夜班，夜班在家办公即可。（当月有夜班津贴）工作地点：戴尔（中国）厦门总部（湖里区金尚路2388号）上班时间：全职，8小时/天，5天/周薪酬：3500～5000元/月福利：五险一金，岗前带薪培训，上下班车接送，食堂午餐补贴，夜班补贴，带薪年假，年底双薪，***落户办理，团队拓展活动，外企工作氛围,民营  |  50-150人
