公司名称,职位名称,薪酬,城市地区,经验要求,学历要求,公司名称.1,规模类型,公司标签,地区,薪酬_n,月薪最小值,月薪最大值
辽宁格林希尔医疗科技有限公司,财务会计,3-5千,本溪,3-4年,大专,"会计
财务
出纳
审计
税务
社保
五险一金
交通补贴
餐饮补贴
绩效奖金
弹性工作
定期体检
年终奖金",民营  |  50-150人,医疗设备/器械,本溪,3000-5000,3000,5000
邵阳市舒康美家具有限公司,结算会计（地点：桂阳县）,4-6千,郴州,2年,大专,"工资结算
产量提成奖励
五险一金
员工旅游
专业培训
绩效奖金
年终奖金",合资  |  150-500人,家具/家电/玩具/礼品,郴州,4000-6000,4000,6000
广州市途喜国际旅行社有限公司,会计专员,4-6千,广州・海珠区,1年,大专,"会计
带薪年假
五险一金
全勤奖
节日福利
绩效奖金
专业培训
员工旅游
周末双休",民营  |  50-150人,酒店/旅游,广州,4000-6000,4000,6000
广东臻善律师事务所,税务会计,7千-1万,东莞・南城区,3-4年,本科,"税务
五险一金
绩效奖金
交通补贴
朝九晚六
带薪年假
节日福利
晋升空间
定期培训
双休",民营  |  150-500人,法律,东莞,7000-10000,7000,10000
武汉顶耀贸易有限公司,税务会计,6.5-7千,武汉・~口区,3-4年,本科,"财务
会计报表
绩效奖金
员工旅游
五险",民营  |  500-1000人,服装/纺织/皮革,武汉,6500-7000,6500,7000
广州卡歌堡贸易有限公司,Accounting Officer/会计,9千-1.1万,广州,5-7年,大专,"会计
财务
Ａccounting
做五休二
社保",外资（欧美）  |  少于50人,贸易/进出口,广州,9000-11000,9000,11000
东莞极飞无人机科技有限公司,全盘会计成本会计,8-9千・13薪,东莞・大岭山镇,3-4年,大专,"包食宿
五险一金
大小周工作制
绩效奖金
年终奖金
餐饮补贴
住房补贴
员工旅游",民营  |  500-1000人,电子技术/半导体/集成电路,东莞,8000-9000,8000,9000
南京嘉能食品有限公司,应收会计,4.5-6千,南京・雨花台区,2年,大专,"会计
出纳员
财务出纳
绩效奖金
节日福利
五险一金
高温补贴
通讯补贴
交通补贴
餐饮补贴",民营  |  50-150人,快速消费品(食品、饮料、化妆品),南京,4500-6000,4500,6000
西安晶捷电子技术有限公司,会计助理,3-6千,西安・高新技术产业开发区,1年,大专,"年终奖金
绩效奖金
员工旅游
五险一金
加班补贴
全勤奖
节日福利
带薪年假",民营  |  150-500人,电子技术/半导体/集成电路,西安,3000-6000,3000,6000
江门泽珩数码科技有限公司,财务会计/主管,6-9千,江门・新会区,3-4年,本科,"会计
五险一金
节日福利",民营  |  150-500人,贸易/进出口,江门,6000-9000,6000,9000
凯联医疗科技（上海）有限公司,财务会计,6-9千・13薪,上海・浦东新区,1年,大专,"会计
五险一金
餐饮补贴
定期体检
弹性工作",合资  |  50-150人,医疗设备/器械,上海,6000-9000,6000,9000
江西赣诚实业有限公司,会计（上饶上班）,6-8千,上饶,2年,大专,"会计
财务报表
税务
建筑业
会计证
财务预算
会计报表
财务
审核
会计法规
包吃住",民营  |  50-150人,建筑/建材/工程,上饶,6000-8000,6000,8000
山东金帝精密机械科技股份有限公司,融资会计,4.5-8千,聊城,2年,大专,"免费班车
员工旅游
专业培训
通讯补贴
餐饮补贴
提供住宿
五险一金",民营  |  1000-5000人,机械/设备/重工,聊城,4500-8000,4500,8000
上海延中饮料有限公司,成本会计,1-1.5万,上海・宝山区,1年,本科,"成本分析
五险一金
绩效奖金
全勤奖",民营  |  150-500人,快速消费品(食品、饮料、化妆品),上海,10000-15000,10000,15000
信联智翊科技（苏州）有限公司,财务主办会计,8千-1.2万,苏州・吴江区,3-4年,大专,"会计
财务
财务管理
总账会计
财务主管
主办会计
带薪年假
包吃
包住宿
绩效奖金
全勤奖
节日福利
五险
生日福利",民营  |  50-150人,原材料和加工,苏州,8000-12000,8000,12000
佛山市五仁餐饮管理有限公司,会计,4-5千,佛山,2年,本科,"会计
全盘账务
员工旅游
绩效奖金
年终奖金
餐饮补贴
社保齐全
带薪年假
晋升空间大
专业培训",民营  |  1000-5000人,餐饮业,佛山,4000-5000,4000,5000
成都远大商业管理有限公司,管理会计专员,6-7千,成都・高新区,2年,本科,"预算
费用报销
资产管理
报销
税务
五险一金
餐饮补贴
年终奖金
定期体检
专业培训",民营  |  500-1000人,物业管理/商业中心,成都,6000-7000,6000,7000
深圳市衡亿安科技有限公司,全盘会计,8千-1万,深圳・龙华区,3-4年,本科,"财务
会计
金蝶
财务软件
五险一金
专业培训
提供住宿
提供吃",民营  |  500-1000人,仪器仪表/工业自动化,深圳,8000-10000,8000,10000
云鲸智能（深圳）有限公司,海外核算会计/高级会计,1.4-2.5万・14薪,深圳,3-4年,本科,"核算会计
审计
中级会计
五险一金
定期体检
年终奖金
机器人独角兽
发展空间大",民营  |  1000-5000人,电子技术/半导体/集成电路,深圳,14000-25000,14000,25000
大连理工大学宁波研究院,财务会计岗,12-22万/年,宁波・江北区,2年,本科,"五险一金
员工旅游
餐饮补贴
通讯补贴
绩效奖金
年终奖金
定期体检
带薪休假
员工食堂
租房补贴",事业单位  |  150-500人,学术/科研,宁波,nan,,
云南正源睿德工程机械有限公司,财务会计,5-6千,昆明,3-4年,本科,"三一重机
会计",民营  |  150-500人,机械/设备/重工,昆明,5000-6000,5000,6000
上海松佰牙科器械有限公司,资深资金会计,1-1.7万,上海・杨浦区,3-4年,本科,"专业培训
五险一金
员工旅游
通讯补贴
弹性工作
年终奖金
定期体检",民营  |  1000-5000人,医疗设备/器械,上海,10000-17000,10000,17000
南京霍普斯科技有限公司,管理会计,8千-1.5万・16薪,南京,3-4年,本科,"员工旅游
交通补贴
餐饮补贴
通讯补贴
年终奖金
股票期权
定期体检
六险一金",民营  |  150-500人,仪器仪表/工业自动化,南京,8000-15000,8000,15000
纳思达股份有限公司,会计专员（外销）-财务中心,6-8千・13薪,珠海・香洲区,3-4年,本科,"五险一金
专业培训
绩效奖金
年终奖金
定期体检
餐饮补贴",已上市  |  10000人以上,办公用品及设备,珠海,6000-8000,6000,8000
欧美化工（惠州）有限公司,会计,5千-1万,惠州,1年,中技/中专,五险一金,外资（非欧美）  |  50-150人,石油/化工/矿产/地质,惠州,5000-10000,5000,10000
杭州联发管业科技有限公司,主办会计,8千-1万,杭州・余杭区,5-7年,大专,"包吃
包住宿
节日福利
全勤奖
绩效奖金
加班补贴
通讯补贴",民营  |  50-150人,原材料和加工,杭州,8000-10000,8000,10000
河北中美经贸有限公司,会计,3-4.5千,石家庄,无需经验,大专,"财务
出纳
财务主管
会计助理
财务助理
会计主管
总账会计
税务
弹性工作
带薪年假
五险一金
年底双薪
加班补贴",民营  |  50-150人,家具/家电/玩具/礼品,石家,3000-4500,3000,4500
广南县凌垭原生铁皮石斛科技有限公司,会计,4-5千,文山,2年,大专,"会计
应收应付
税务管理
交通补贴
餐饮补贴
通讯补贴
绩效奖金
年终奖金
五险一金
补充医疗保险",民营  |  50-150人,农/林/牧/渔,文山,4000-5000,4000,5000
江苏华频电子科技有限公司,成本会计,6-9千,常州・武进区,2年,大专,"会计
成本核算
成本分析
用友u8
金蝶k3
存货盘点
供应链系统
五险一金
员工旅游
专业培训
年终奖金
定期体检
绩效奖金
弹性工作
餐饮补贴
通讯补贴
交通补贴",民营  |  150-500人,电子技术/半导体/集成电路,常州,6000-9000,6000,9000
四川易成祥教育咨询有限公司,财务/会计+周末双休+寒暑假,6千-1.2万,成都・郫都区,1年,大专,"五险一金
补充医疗保险
餐饮补贴
通讯补贴
年终奖金
绩效奖金
有薪寒暑假
定期体检
交通补贴",民营  ,专业服务(咨询、人力资源、财会),成都,6000-12000,6000,12000
长江源（武汉）半导体科技有限公司,会计,4-5千,荆州,3-4年,本科,会计,民营  ,电子技术/半导体/集成电路,荆州,4000-5000,4000,5000
广南县凌垭原生铁皮石斛科技有限公司,会计,4-5千,文山,2年,大专,"会计
应收应付
税务管理
交通补贴
餐饮补贴
通讯补贴
绩效奖金
年终奖金
五险一金
补充医疗保险",民营  |  50-150人,农/林/牧/渔,文山,4000-5000,4000,5000
深圳市业盛建机租赁有限公司,代招餐饮公司-会计,6-7千,深圳・南山区,1年,大专,"会计
餐饮
初级会计师
周末双休
交通补贴
绩效奖金
餐饮补贴
定期体检
五险一金",民营  |  150-500人,机械/设备/重工,深圳,6000-7000,6000,7000
特易行国际货运代理（深圳）有限公司上海分公司,会计主任,6.5-8千,厦门,5-7年,大专,"会计
财务
五险一金
年终奖金
餐饮补贴",外资（非欧美）  |  50-150人,交通/运输/物流,厦门,6500-8000,6500,8000
百特思企业服务（武汉）有限公司,会计,3-4.5千,武汉・江岸区,无需经验,大专,"财务
出纳
专业培训
通讯补贴
绩效奖金
年终奖金
员工旅游
交通补贴
周末双休
五险",民营  |  50-150人,会计/审计,武汉,3000-4500,3000,4500
东莞极飞无人机科技有限公司,会计助理,5-6.5千・13薪,东莞・大岭山镇,2年,大专,"行业领先企业
大小周工作制
包食宿
五险一金
餐饮补贴
年终奖金
绩效奖金
定期体检",民营  |  500-1000人,电子技术/半导体/集成电路,东莞,5000-6500,5000,6500
广州瑜然美化妆品有限公司,财务会计/财务专员/成本会计,5-7千,广州・白云区,1年,大专,"总账会计
财务
会计
会计专员
财务专员
成本会计
财务主管
财务助理
会计助理
带薪年假
绩效奖金
节日福利
加班补贴
专业培训
全勤奖
社保
年终奖金",民营  |  50-150人,快速消费品(食品、饮料、化妆品),广州,5000-7000,5000,7000
Raffles Medical 莱佛士医疗,应收会计AR Accountant,5-8千・13薪,南京・江宁区,2年,本科,"五险一金
定期体检
专业培训
年终奖金",外资（非欧美）  |  1000-5000人,医疗/护理/卫生,南京,5000-8000,5000,8000
深圳市美霖实业有限公司,财务会计专员,7-9千,深圳・福田区,1年,大专,"大小周制
五险一金
年终奖金
餐饮补贴",民营  |  50-150人,家具/家电/玩具/礼品,深圳,7000-9000,7000,9000
上海协信星光商业管理有限公司,会计,5-6千,重庆,3-4年,本科,"五险一金
交通补贴
餐饮补贴
专业培训
定期体检
弹性工作
年终奖金",民营  ,物业管理/商业中心,重庆,5000-6000,5000,6000
湖北聚能容器有限公司,会计,5千-1万・13薪,武汉,1年,本科,"会计
高温补贴
专业培训
节日福利
带薪年假
周末双休
通讯补贴
餐饮补贴",民营  |  50-150人,原材料和加工,武汉,5000-10000,5000,10000
奇轮文化（深圳）集团有限公司,会计助理,5-7千,深圳・福田区,2年,大专,"会计
数据统计
五险一金
绩效奖金",合资  |  50-150人,影视/媒体/艺术/文化传播,深圳,5000-7000,5000,7000
苏州凡特真空溅镀科技有限公司,总账会计,6-8千,苏州・高新区,2年,高中,"金蝶
财务软件
税务申报
报销
应收
应收应付
办公室软件
应付帐款
工商年检
银行账务处理
五险一金
年终奖金
弹性工作",外资（欧美）  ,计算机软件,苏州,6000-8000,6000,8000
克丽黛尔生物科技（杭州）有限公司,会计,6-7千,杭州・萧山区,2年,大专,"周末双休
全勤奖
节日福利
餐饮补贴",民营  |  50-150人,快速消费品(食品、饮料、化妆品),杭州,6000-7000,6000,7000
沈阳美素生物科技有限公司,财务会计,5千-1万,沈阳・浑南区,5-7年,大专,"会计
财务软件
财务报表
核算
总账
五险一金
专业培训
绩效奖金
年终奖金",民营  |  50-150人,制药/生物工程,沈阳,5000-10000,5000,10000
苏州康德运营管理有限公司,核算会计  餐饮,6-7千,苏州・相城区,3-4年,大专,"会计
审计
快消品
节日福利
高温补贴
专业培训
餐饮补贴
五险一金
年终奖金
定期体检",民营  |  500-1000人,餐饮业,苏州,6000-7000,6000,7000
湖北玉泉文化旅游开发有限公司,会计,3-6千,宜昌・当阳市,3-4年,大专,"五险一金
免费班车
专业培训
通讯补贴
年终奖金
定期体检
员工旅游
双休
企业年金
工龄奖",民营  |  50-150人,酒店/旅游,宜昌,3000-6000,3000,6000
广东福美鲜食品有限公司,会计/会计师,4-6千,广州,2年,大专,"年终奖金
交通补贴
餐饮补贴
生日福利",民营  |  50-150人,快速消费品(食品、饮料、化妆品),广州,4000-6000,4000,6000
深圳市中装建设集团股份有限公司,税务会计,8千-1.2万,深圳・罗湖区,3-4年,本科,"五险一金
绩效奖金
通讯补贴
周末双休
带薪年假
全勤奖
专业培训",已上市  |  500-1000人,家居/室内设计/装潢,深圳,8000-12000,8000,12000
华汉生物科技（上海）有限公司,会计,1-1.5万,上海・松江区,2年,本科,"数据分析
会计
财务分析
财务
中级职称
五险一金
餐饮补贴
节日福利
绩效奖金
周末双休",民营  |  50-150人,快速消费品(食品、饮料、化妆品),上海,10000-15000,10000,15000
泰咏电子（上海）有限公司,总账会计,9千-1.2万・13薪,上海,3-4年,本科,"sap
总账
财务报表
电子制造业
五险一金
年终奖金
工作餐
补充医疗保险
员工旅游
定期体检
包吃包住
专业培训",外资（非欧美）  |  500-1000人,电子技术/半导体/集成电路,上海,9000-12000,9000,12000
云南全能帮科技有限公司,会计,5-7.5千,昆明・五华区,2年,大专,"报表
税务
办公软件
会计
财务管理
会计凭证
账务核算
账务管理
财务法律法规
节假日休息
绩效奖金
年终奖金
五险
工龄工资
季度奖金
专业培训
弹性工作",民营  |  1000-5000人,交通/运输/物流,昆明,5000-7500,5000,7500
滁州恒昌机械装备制造有限公司,房产会计,4-6千,滁州,2年,大专,"工作餐
节日礼品
五险",民营  |  150-500人,机械/设备/重工,滁州,4000-6000,4000,6000
广州广尔数码供应链集团股份有限公司,总帐会计兼信息披露,7千-1万・13薪,广州・天河区,3-4年,本科,"总账会计
财务
公告披露
做五休二
周末双休
带薪年假
五险一金
绩效奖金
通讯补贴
节日福利
专业培训",已上市  |  150-500人,贸易/进出口,广州,7000-10000,7000,10000
贵州百宴记餐饮管理有限公司,会计,4.5-6千,贵阳,2年,大专,"财务
记账凭证
核算
财务核算
对比分析
成本费用
核算管理
登记总账
财务软件系统
财务审核
专业培训
定期体检
五险
包吃包住
绩效奖金",民营  |  50-150人,餐饮业,贵阳,4500-6000,4500,6000
太平养老保险股份有限公司,养老总部-财务会计部-保险业务收付费岗,8千-1.6万・17薪,上海・浦东新区,3-4年,本科,"五险一金
年终奖金
补充医疗保险
补充公积金
餐饮补贴
专业培训
定期体检",国企  |  1000-5000人,保险,上海,8000-16000,8000,16000
深圳市道尔智控科技股份有限公司,成本会计+五险一金+上市,6千-1万,深圳・龙华区,3-4年,大专,"会计
成本控制
成本核算
成本分析
成本管理
成本分析报表
成本支出
成本核算控制
评估成本方案
金蝶k3
五险一金
全勤奖
绩效奖金
节日福利
专业培训
年终奖金",已上市  |  150-500人,通信/电信/网络设备,深圳,6000-10000,6000,10000
珠海雅莎生物科技股份有限公司,成本会计,7-8千,珠海・金湾区,5-7年,大专,"往来账核对
计算成本
订单成本核算
车间生产管理
盘盈
周末双休
带薪年假
五险一金
节日福利
专业培训",民营  |  150-500人,医疗/护理/卫生,珠海,7000-8000,7000,8000
上海远阳投资发展有限公司,总帐会计,9千-1.5万,上海・静安区,5-7年,大专,"会计
总账
建筑
五险一金
餐饮补贴
定期体检
弹性工作",民营  |  150-500人,建筑/建材/工程,上海,9000-15000,9000,15000
中村精机（无锡）有限公司,成本会计,5.5-6.5千・13薪,无锡,2年,大专,"成本核算
成本管理
进销存
成本统计
督导成本控制
财务
成本会计
五险一金
专业培训
绩效奖金
年终奖金
节日福利
生日福利",民营  |  50-150人,机械/设备/重工,无锡,5500-6500,5500,6500
佑曙生命科技（上海）有限公司,总账会计,7-8千,上海・浦东新区,3-4年,大专,"总账
出纳
账务处理
费用支出
应付
纳税申报
五险一金
餐饮补贴
专业培训",民营  |  少于50人,制药/生物工程,上海,7000-8000,7000,8000
迪欧家具集团有限公司,应收会计,4-5千,江门・江海区,2年,大专,"办公软件
财务管理
账龄分析
发票审核
合同整理",民营  |  1000-5000人,家具/家电/玩具/礼品,江门,4000-5000,4000,5000
广东恒广投资有限公司,会计,6-8千,广州・白云区,3-4年,大专,五险一金,民营  |  50-150人,多元化业务集团公司,广州,6000-8000,6000,8000
上海岙瑟检测技术有限公司,会计,5-6.5千,上海・静安区,1年,大专,"财务
会计
财务文员
财务助理",民营  |  少于50人,医疗设备/器械,上海,5000-6500,5000,6500
上海荟泉实业有限公司,财务会计专员,6千-1万,上海・浦东新区,1年,高中,"财务
做五休二
周末双休
带薪年假
五险一金
免费班车
绩效奖金
节日福利
交通补贴
加班补贴
高温补贴",民营  |  少于50人,房地产,上海,6000-10000,6000,10000
湖北宝上电缆有限公司,财务会计,4-6千,宜昌,5-7年,大专,"记账凭证
报税
工商年报
审计报告
贷后资料
贷款资料
外部审计
财务会计
节日福利
全勤奖
五险一金
交通补贴",民营  |  150-500人,机械/设备/重工,宜昌,4000-6000,4000,6000
东莞市星辰互动电子科技有限公司,税务会计,8千-1万,东莞・凤岗镇,5-7年,大专,"包吃
包住宿
五险
带薪年假
绩效奖金
年终奖
工作环境优美
团队活动丰富
节日福利",民营  |  500-1000人,计算机软件,东莞,8000-10000,8000,10000
佛山市五仁餐饮管理有限公司,会计,4-5千,佛山,2年,本科,"会计
全盘账务
员工旅游
绩效奖金
年终奖金
餐饮补贴
社保齐全
带薪年假
晋升空间大
专业培训",民营  |  1000-5000人,餐饮业,佛山,4000-5000,4000,5000
江西百合投资有限责任公司,会计（百合顺福）,5-6千,南昌・青云谱区,5-7年,本科,"餐饮补贴
年终奖金
带薪年假
社保五险",民营  |  500-1000人,汽车,南昌,5000-6000,5000,6000
上海戎狄实业有限公司,主办会计,6-8千,上海・浦东新区,8-9年,大专,"会计
审计
五险一金
员工旅游
交通补贴
餐饮补贴
通讯补贴",民营  |  少于50人,原材料和加工,上海,6000-8000,6000,8000
南侨食品集团（上海）股份有限公司,应收应付会计,6-8千,上海・徐汇区,3-4年,大专,"会计
office
财务会计
连锁餐饮行业
五险一金
年终奖金",外资（非欧美）  |  1000-5000人,快速消费品(食品、饮料、化妆品),上海,6000-8000,6000,8000
浙江兆奕科技有限公司,成本会计（慈溪）,9千-1.2万・13薪,宁波・慈溪市,3-4年,大专,"五险一金
餐饮补贴
绩效奖金
年终奖金
专业培训
出国津贴",民营  |  1000-5000人,电子技术/半导体/集成电路,宁波,9000-12000,9000,12000
佛山市旗星金属科技有限公司,会计,5-7千,佛山・三水区,5-7年,大专,"会计
会计核算
会计报表
财务软件
会计资料收集
五险一金
包吃住",民营  ,电子技术/半导体/集成电路,佛山,5000-7000,5000,7000
广州皓钛医疗器械有限公司,应收应付会计,6-8千・13薪,广州・天河区,3-4年,大专,"五险一金
交通补贴
年终奖金
绩效奖金
员工旅游",民营  |  50-150人,医疗设备/器械,广州,6000-8000,6000,8000
安徽路特威智能机械工程有限公司,会计专员,3.5-4千,淮北,2年,大专,"成本控制
成本核算
成本分析
交通补贴
定期体检
绩效奖金
专业培训
餐饮补贴",民营  |  少于50人,机械/设备/重工,淮北,3500-4000,3500,4000
宁波晶美科技有限公司,成本会计,6-8千,宁波,3-4年,大专,"做五休二
节日福利
交通补贴
加班补贴
通讯补贴
高温补贴
包吃",民营  |  150-500人,汽车,宁波,6000-8000,6000,8000
宁波豪雅进出口集团有限公司,主办会计（子公司）,8千-1.3万・13薪,宁波・海曙区,3-4年,大专,"年终奖金
定期体检
五险一金
免费班车
交通补贴
季度福利",民营  |  1000-5000人,贸易/进出口,宁波,8000-13000,8000,13000
太仓创秋木业有限公司,会计,4-6千,苏州,2年,大专,"财务
会计
财务报表
全勤奖
包吃
五险
专业培训",民营  |  150-500人,建筑/建材/工程,苏州,4000-6000,4000,6000
上海亚翔国际货物运输代理有限公司,应收会计,4-6千,深圳・宝安区,1年,大专,"收款
单据
催收货款
往来会计
物流行业
记账凭证
收款收据
财务分析
五险一金",民营  |  50-150人,交通/运输/物流,深圳,4000-6000,4000,6000
广东吉荣集团有限公司,总账会计,6-8千・13薪,清远・清城区,2年,大专,"年终奖金
专业培训",民营  |  150-500人,机械/设备/重工,清远,6000-8000,6000,8000
苏州凯扬纸品科技有限公司,财务会计专员,4.5-6千,苏州・相城区,2年,大专,"财务，行政
五险一金
年终奖金
绩效奖金",民营  |  50-150人,印刷/包装/造纸,苏州,4500-6000,4500,6000
浙江银瑜新材料股份有限公司,会计,5-8千,宁波・镇海区,3-4年,大专,"节日福利
五险一金
餐饮补贴",民营  |  150-500人,服装/纺织/皮革,宁波,5000-8000,5000,8000
上海锦和商业经营管理股份有限公司,会计主管（物业）,1.2-1.4万・13薪,上海・徐汇区,3-4年,本科,"带薪年假
五险一金
绩效奖金
节日福利
餐饮补贴",已上市  |  150-500人,物业管理/商业中心,上海,12000-14000,12000,14000
南京工大数控科技有限公司,会计,5-7千,烟台・福山区,5-7年,本科,"财务
总账会计
五险一金
节日福利
高温补贴",民营  |  50-150人,机械/设备/重工,烟台,5000-7000,5000,7000
武汉中南工程机械设备有限责任公司,财务主管会计,5-8千・13薪,武汉,5-7年,大专,"总账
财务数据
财务报表分析
审核记账凭证
年度预算
五险一金
绩效奖金
交通补贴",民营  |  500-1000人,机械/设备/重工,武汉,5000-8000,5000,8000
无锡嘉润科技有限公司,派驻会计,5-8千・13薪,渭南,5-7年,大专,五险一金,民营  |  少于50人,石油/化工/矿产/地质,渭南,5000-8000,5000,8000
欧菲姿（广州）贸易有限公司,应收会计（双休）,5.5-6.5千,广州・白云区,1年,大专,"erp
会计
用友
订单审核
订货系统
销售订单
财务软件
金融
社保五险
绩效奖金
定期体检
产品福利
员工旅游",民营  |  500-1000人,快速消费品(食品、饮料、化妆品),广州,5500-6500,5500,6500
苏州丹氏智能科技有限公司,会计,6-8千・13薪,苏州・吴江区,1年,本科,"五险一金
年终奖金
节假日福利",外资（欧美）  |  150-500人,机械/设备/重工,苏州,6000-8000,6000,8000
北京财恒通财务顾问有限公司,会计,5-8千,北京・丰台区,1年,大专,"会计主管
总账会计
税务
会计
代理记账
代理记账会计
财务
五险一金
员工旅游
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金",民营  ,会计/审计,北京,5000-8000,5000,8000
东莞市展宏胶粘制品有限公司,会计,5-7千,东莞・厚街镇,2年,高中,"会计
财务",民营  |  少于50人,原材料和加工,东莞,5000-7000,5000,7000
长胜纺织科技发展（上海）有限公司,资深总账会计,1.5-2万・13薪,上海・闵行区,5-7年,本科,"五险一金
绩效奖金
专业培训
餐饮补贴
节日福利",外资（非欧美）  |  150-500人,服装/纺织/皮革,上海,15000-20000,15000,20000
上海一谦液压设备有限公司,成本会计,5-8千・14薪,常州・新北区,2年,大专,"会计
成本会计
五险一金
餐饮补贴
年终奖金
周末双休",民营  |  50-150人,机械/设备/重工,常州,5000-8000,5000,8000
浙江凯乐士科技集团股份有限公司,成本会计,10-15万/年,东莞・松山湖区,2年,大专,"成本核算
成本报表
生产成本核算
成本计算
成本变动
五险一金
餐饮补贴
通讯补贴
弹性工作
定期体检
年终奖金
专业培训",民营  |  1000-5000人,交通/运输/物流,东莞,nan,,
广东大家食品有限公司,会计助理,4.5-6千,肇庆・端州区,无需经验,本科,"社保
绩效奖金
年终奖金
通讯补贴
餐饮补贴
节日费
商业保险
带薪年假",民营  |  150-500人,农/林/牧/渔,肇庆,4500-6000,4500,6000
润合供应链集团有限公司,会计助理,4.5-5千,嘉兴・嘉善县,1年,大专,"开票
五险一金
年终奖金",民营  |  1000-5000人,贸易/进出口,嘉兴,4500-5000,4500,5000
上海顺扬投资咨询有限公司,会计,1-1.2万,上海・徐汇区,5-7年,本科,"会计
财务会计
总账会计
会计主管
主办会计
做五休二
带薪年假
节日福利
五险一金
周末双休",民营  |  少于50人,金融/投资/证券,上海,10000-12000,10000,12000
济南吉瑞生物技术有限公司,记账会计,5千-1万,济南・市中区,2年,大专,"五险一金
补充医疗保险
交通补贴
员工旅游
专业培训
绩效奖金
通讯补贴
年终奖金",民营  ,计算机软件,济南,5000-10000,5000,10000
长沙鹏泰电子科技有限公司,应收会计,3.5-4.5千,长沙・雨花区,1年,大专,"财务
会计
财务文员
财务助理
统计员
出纳
全勤奖
带薪年假
节日福利
五险
双休",民营  |  少于50人,计算机服务(系统、数据服务、维修),长沙,3500-4500,3500,4500
太平养老保险股份有限公司,财务会计部-报表管理岗,1.3-2.5万・18薪,上海・浦东新区,3-4年,本科,"审计
会计
五险一金
年终奖金
补充医疗保险
补充公积金
餐饮补贴
专业培训
定期体检",国企  |  1000-5000人,保险,上海,13000-25000,13000,25000
