公司名称,职位名称,薪酬,城市地区,经验要求,学历要求,公司名称.1,规模类型,公司标签,地区,薪酬_n,月薪最小值,月薪最大值
深圳市佳乐鑫科技有限公司,会计（电商方向）,6千-1万,深圳・光明区,3-4年,大专,"会计
电商
亚马逊
出口退税
全盘
总账
应收应付
工商变更
税务
资金管理
五险一金
餐饮补贴
交通补贴
年终奖金
绩效奖金
员工旅游
专业培训
弹性工作
出国机会
通讯补贴",民营  |  50-150人,计算机软件,深圳,6000-10000,6000,10000
上海裕诚化工有限公司,注册会计师,1-1.5万,上海・松江区,5-7年,本科,"对账
报税
外贸
化工
审计
五险一金
员工旅游
绩效奖金
定期体检",民营  |  少于50人,石油/化工/矿产/地质,上海,10000-15000,10000,15000
沈阳每利科技股份有限公司,会计,4-6千,沈阳・法库县,3-4年,大专,"五险一金
员工旅游
专业培训
出国机会
绩效奖金
年终奖金
股票期权
定期体检",民营  |  150-500人,计算机软件,沈阳,4000-6000,4000,6000
江苏幸福蓝海影院发展有限责任公司,核算会计（总部）,5.5-6.5千・14薪,南京・栖霞区,2年,本科,"五险一金
餐饮补贴
绩效奖金
年终奖金
员工旅游
免费班车
带薪年假
周末双休
节日福利
交通补贴",国企  |  1000-5000人,影视/媒体/艺术/文化传播,南京,5500-6500,5500,6500
肇庆南玻节能玻璃有限公司,财务会计,7-8.5千,肇庆,3-4年,本科,"财务
资金
销售会计
年终奖金
六险一金
提供住宿
提供食堂
定期体检
通讯补贴
带薪年假",合资  |  500-1000人,建筑/建材/工程,肇庆,7000-8500,7000,8500
浙江顶上智能家居股份有限公司,主办会计,6千-1万,嘉兴,2年,大专,"制造业
税务
凭证
核算
绩效奖金
五险一金
员工旅游
餐饮补贴
专业培训
年终奖金",民营  |  150-500人,建筑/建材/工程,嘉兴,6000-10000,6000,10000
英华利汽车模具系统(深圳)有限公司,应付会计,7-8千,深圳・宝安区,3-4年,大专,"应付会计
ERP
NAV
五险一金
包住
周末双休
节日福利
加班补贴
带薪年假",外资（欧美）  |  1000-5000人,汽车,深圳,7000-8000,7000,8000
广西柳州九坚投资有限公司,会计助理,5-8千・13薪,柳州・城中区,2年,大专,"会计
补充医疗保险
绩效奖金",民营  |  50-150人,石油/化工/矿产/地质,柳州,5000-8000,5000,8000
上海吉耐实业有限公司,财务会计专员,8千-1万,上海・闵行区,10年以上,本科,"财务
全盘账务
总账会计
编制报表
做五休二
周末双休
带薪年假
五险一金
餐饮补贴",外资（非欧美）  |  150-500人,汽车零配件,上海,8000-10000,8000,10000
广东华盛家具集团有限公司,税务会计,4-5千,中山・东升镇,1年,中技/中专,"财务
会计
会计报表
税务报表
记帐凭证
单据审核
保管发票
申请票据
绩效奖金
专业培训
定期体检
单休
节日福利
全勤奖
五险一金",民营  |  1000-5000人,家具/家电/玩具/礼品,中山,4000-5000,4000,5000
东莞市流行文化传播有限公司,会计,5-7千,东莞・莞城区,3-4年,大专,"全盘账
财务会计报表
账务处理
员工旅游
餐饮补贴
年终评奖
周末双休
交通补贴
加班调休
通讯补贴
下午茶
带薪年假
节日福利",民营  |  少于50人,影视/媒体/艺术/文化传播,东莞,5000-7000,5000,7000
上海繁枫真空科技有限公司,主办会计,4-8千,亳州,5-7年,大专,"会计
专业培训
包住宿
包吃
节日福利",合资  |  150-500人,机械/设备/重工,亳州,4000-8000,4000,8000
广东中天实业投资集团有限公司,集团：会计主管（城市更新）,9千-1.3万,东莞・南城区,5-7年,本科,"财务
会计主管
总账会计
五险一金
周末双休
家文化
职业发展通道
员工公寓宿舍
定期体检
节日福利
团队氛围好
中秋奖金
年终奖金",民营  |  1000-5000人,房地产,东莞,9000-13000,9000,13000
奥兰酒业（上海）有限公司,成本会计,8千-1.2万,上海・杨浦区,3-4年,本科,"会计
五险一金
专业培训
年终奖金",合资  |  150-500人,快速消费品(食品、饮料、化妆品),上海,8000-12000,8000,12000
四川锦源晟新能源科技有限公司,成本会计,5千-1万,眉山,3-4年,本科,"财务
成本
五险一金
交通补贴
年终奖金
餐饮补贴
通讯补贴
住房补贴",民营  |  500-1000人,新能源,眉山,5000-10000,5000,10000
上海繁枫真空科技有限公司,总账税务成本会计,7千-1万,亳州,8-9年,本科,"包住宿
包吃
节日福利
五险一金
周末双休",合资  |  150-500人,机械/设备/重工,亳州,7000-10000,7000,10000
陕西圣唐乳业有限公司,会计,3.5-4千,渭南,3-4年,大专,"会计
员工旅游
专业培训
交通补贴
员工社保",民营  |  150-500人,农/林/牧/渔,渭南,3500-4000,3500,4000
安徽天钧焊接技术有限公司,成本会计,5-6千・13薪,滁州,3-4年,大专,"会计
财务
会计主管
财务经理
会计师
入帐
审计
税务
五险一金
年终奖金
员工旅游
专业培训
定期体检
双休",民营  ,汽车零配件,滁州,5000-6000,5000,6000
上海天诚通信技术有限公司,主办会计,7-9千,上海・闵行区,3-4年,大专,"财务
会计
成本核算
纳税申报
全盘账务处理
工程公司",民营  |  500-1000人,计算机服务(系统、数据服务、维修),上海,7000-9000,7000,9000
广州蒸旺餐饮管理有限公司,会计,5-7千,广州・荔湾区,2年,大专,"会计
审计
餐饮
零售
带薪年假
专业培训
绩效奖金
年终奖金",民营  |  150-500人,餐饮业,广州,5000-7000,5000,7000
武汉合信源财务管理有限公司,财务会计（武昌）,4-5千,武汉・武昌区,3-4年,大专,"审计
会计
周末双休
带薪年假
五险一金
绩效奖金
全勤奖
节日福利
专业培训",民营  |  50-150人,会计/审计,武汉,4000-5000,4000,5000
重庆市巴南建设（集团）有限公司,房地产会计,6千-1万,重庆・南岸区,5-7年,本科,"财务
会计
五险
餐饮补贴
员工旅游",国企  |  150-500人,房地产,重庆,6000-10000,6000,10000
上海凡德汽车销售服务有限公司,会计,6-7千,上海・浦东新区,1年,大专,"会计
五险一金
带薪年假
周末双休
节日福利
员工旅游
定期体检
十五薪
加班补贴
工作餐",民营  |  150-500人,汽车,上海,6000-7000,6000,7000
绿城绿发生活服务集团有限公司,会计,6-8千,杭州・西湖区,1年,本科,"财务
会计助理
五险一金
通讯补贴
餐饮补贴
交通补贴
定期体检
员工旅游",民营  |  1000-5000人,物业管理/商业中心,杭州,6000-8000,6000,8000
重庆本熙建设有限公司,项目会计（驻场甘谷）,4-8千・13薪,天水,1年,大专,"财务
会计
结算
五险
节假日福利
年终奖金
通讯补贴
交通补贴
员工旅游
餐饮补贴",民营  |  50-150人,建筑/建材/工程,天水,4000-8000,4000,8000
Brunello Cucinelli,Accountant 财务会计,10-15万/年,上海・静安区,2年,本科,"会计
AP
AR
做五休二
带薪年假
五险一金
专业培训
年终奖金
补充医疗保险
定期体检
文化激励",外资（欧美）  |  1000-5000人,奢侈品/收藏品/工艺品/珠宝,上海,nan,,
辽宁同飞玺铭会计师事务所有限责任公司,会计,3-6千,沈阳・和平区,2年,大专,"财务
财务主管
会计助理
财务助理
会计主管",民营  |  50-150人,会计/审计,沈阳,3000-6000,3000,6000
上海复旦水务工程技术有限公司,会计,7-10万/年,宁波・余姚市,2年,大专,"会计
会计助理
五险一金
定期体检",国企  |  500-1000人,环保,宁波,nan,,
南昌卓盛实业有限公司,会计,5-7千,南昌・红谷滩新区,10年以上,本科,"会计
房地产
五险一金
年终奖金
周末双休
绩效奖金
员工餐",民营  |  少于50人,房地产,南昌,5000-7000,5000,7000
云南省久泰药业有限公司,开票会计,4-5千,昆明,2年,大专,"五险一金
职称补贴
工龄工资
生日福利
节日福利
员工宿舍",民营  |  1000-5000人,医疗/护理/卫生,昆明,4000-5000,4000,5000
德蒙（上海）压缩机械有限公司,会计专员,6-8千,嘉兴・平湖市,5-7年,大专,"财务
金蝶
纳税申报
核算
财务软件
财务档案保管
账务核对
账务处理
财务分析
五险一金
绩效奖金
年终奖金
定期体检
免费工作餐
高温补贴
加班补贴",合资  |  150-500人,机械/设备/重工,嘉兴,6000-8000,6000,8000
广东腾源蓄冷节能科技有限公司,主办会计,7.5-9千,东莞・东城区,5-7年,大专,"会计
财务主管
主办会计
餐饮补贴
年终奖金
社保
员工旅游
五险",民营  |  50-150人,建筑/建材/工程,东莞,7500-9000,7500,9000
上海福盛建设集团有限公司,总账会计,0.8-1万,上海・宝山区,8-9年,大专,"财务主管
会计主管
总账会计
做五休二
周末双休
五险一金
餐饮补贴
节日福利",民营  |  1000-5000人,建筑/建材/工程,上海,08000-10000,8000,10000
上海众凯教育信息咨询有限公司,MPAcc会计考研社群运营,8千-1.2万,上海・徐汇区,无需经验,本科,"审计硕士
会计助理
财务助理
五险一金
专业培训
员工旅游
绩效奖金",民营  |  50-150人,教育/培训/院校,上海,8000-12000,8000,12000
杭州骏跃科技有限公司,总账会计,9千-1.3万,杭州・余杭区,3-4年,大专,"会计
制造业
总账
五险一金
员工旅游
餐饮补贴
通讯补贴
年终奖金
定期体检
大小休",民营  |  150-500人,办公用品及设备,杭州,9000-13000,9000,13000
湖北鑫财丰建设工程有限公司,成本会计,4-6千,武汉・江汉区,3-4年,大专,"五险一金
员工旅游
年终奖金
餐饮补贴",民营  |  50-150人,建筑/建材/工程,武汉,4000-6000,4000,6000
上海径驰精密工具有限公司,成本会计,8-9千・13薪,上海・宝山区,2年,大专,"五险一金
免费班车
员工旅游
专业培训
交通补贴
绩效奖金
年终奖金
定期体检
住房补贴",民营  |  50-150人,机械/设备/重工,上海,8000-9000,8000,9000
厦门海辰储能科技股份有限公司,资产会计,7千-1.4万・14薪,厦门・同安区,2年,本科,"财务
资产管理
资产会计
五险一金
交通补贴
餐饮补贴
免费班车
年终奖金
弹性工作
周末双休
提供住宿",民营  |  1000-5000人,新能源,厦门,7000-14000,7000,14000
东莞市巨献服饰有限公司,税务会计,7千-1万,东莞・塘厦镇,2年,大专,"会计
税务申报
税务
财务制度
税务账务处理
税务会计
纳税申报
财务报表
绩效奖金
节日福利
弹性工作
五险
员工旅游
年终奖金
出国机会
专业培训
包午餐
晋升空间",民营  |  50-150人,服装/纺织/皮革,东莞,7000-10000,7000,10000
张家港牧羊人服饰有限公司,往来会计,6-8千,张家港,3-4年,大专,"对帐
款项结算
包三餐
包住宿
免费班车
节日福利
五险一金
工龄奖",民营  |  500-1000人,服装/纺织/皮革,张家,6000-8000,6000,8000
杭州安意家居有限公司,财务专员/总账会计,6-7千・13薪,杭州・萧山区,3-4年,本科,"会计主管
总账会计
五险一金
员工旅游
交通补贴
餐饮补贴
绩效奖金
年终奖金",民营  |  少于50人,互联网/电子商务,杭州,6000-7000,6000,7000
严格集团股份有限公司,会计,4-6千,哈尔滨,5-7年,大专,"免费午餐
交通补贴
五险一金",国企  |  500-1000人,机械/设备/重工,哈尔,4000-6000,4000,6000
江苏睿讯达科技有限公司,会计,5-8千,南京・建邺区,5-7年,大专,"绩效奖金
交通补贴
餐饮补贴
五险一金
年终奖金",民营  |  少于50人,计算机软件,南京,5000-8000,5000,8000
俄远东船务（上海）有限公司,财务会计专员,6-6.5千・13薪,天津・和平区,3-4年,本科,"补充医疗保险
定期体检
13薪
年终奖金",外资（非欧美）  |  50-150人,交通/运输/物流,天津,6000-6500,6000,6500
苏州麦迪斯顿医疗科技股份有限公司,管理会计,1.2-1.7万・13薪,苏州,5-7年,本科,"会计
五险一金
员工旅游
餐饮补贴
专业培训
年终奖金
定期体检",已上市  |  500-1000人,计算机软件,苏州,12000-17000,12000,17000
四川三联混凝土工程有限公司,雅安会计（荥经县）,4-6千,雅安,8-9年,大专,"社保
带薪年假
绩效奖金",民营  |  50-150人,建筑/建材/工程,雅安,4000-6000,4000,6000
聚赢齿科技术（上海）有限公司,发票会计兼出纳,5-7千・13薪,上海・杨浦区,2年,大专,"绩效奖金
餐饮补贴
通讯补贴",民营  |  50-150人,医疗设备/器械,上海,5000-7000,5000,7000
青岛耀世锦成国际贸易有限公司,会计助理,3-5千,青岛・市南区,1年,大专,"月薪面议
五险一金",民营  |  少于50人,贸易/进出口,青岛,3000-5000,3000,5000
北京城建长城建设集团有限公司靖安分公司,项目会计,6-7千,宜春,3-4年,大专,"总账会计
会计主管
税务
财务主管
成本会计
包吃住
五险",合资  ,建筑/建材/工程,宜春,6000-7000,6000,7000
天佳建设集团有限公司,会计,1-1.2万,深圳・罗湖区,5-7年,大专,"五险一金
包吃
通讯补贴
交通补贴",民营  |  150-500人,建筑/建材/工程,深圳,10000-12000,10000,12000
上海中佳永信会计师事务所有限公司,注册会计师,25-50万/年,上海・黄浦区,3-4年,大专,"审计
注册会计师
审计经理
CPA
五险一金
年终奖金
专业培训
交通补贴
带薪年假
周末双休
节日福利
公司旅游
绩效奖金",民营  |  50-150人,会计/审计,上海,nan,,
大连佰信达集团有限公司,建安/房地产企业财务主管会计,5-6千,大连,5-7年,本科,五险,民营  |  500-1000人,建筑/建材/工程,大连,5000-6000,5000,6000
广州市桂勤器械设备工程有限公司,会计主管,7千-1万,广州・天河区,3-4年,大专,"会计主管
总账会计
双休
财务主管
餐饮补贴
员工旅游
年终奖金
绩效奖金
六险",民营  |  50-150人,建筑/建材/工程,广州,7000-10000,7000,10000
深圳元哲管理咨询有限公司,驻点会计（行政事业单位）,6-8千・13薪,深圳・福田区,2年,本科,"会计
财务
周末双休
带薪年假
五险一金
绩效奖金
节日福利
餐饮补贴
交通补贴
定期体检
年终奖金
员工旅游",民营  |  少于50人,专业服务(咨询、人力资源、财会),深圳,6000-8000,6000,8000
长沙卓冠科技有限公司,会计（五险+包吃包住）,4.5-6千,长沙・长沙县,2年,大专,"财务
出纳
财务主管
会计助理
财务助理
会计主管
会计
税务
五险
包吃
包住宿
带薪年假
绩效奖金
全勤奖
节日福利",民营  |  少于50人,汽车零配件,长沙,4500-6000,4500,6000
合肥尚可嘉环保科技有限公司,外贸会计（双休/朝九晚六）,5-7千,合肥・政务区,2年,大专,"报税
台账
做账
帐务处理
外贸行业
周末双休
年终奖金
五险
员工旅游
生日福利
节日福利
带薪假",民营  |  50-150人,贸易/进出口,合肥,5000-7000,5000,7000
东莞凤岗嘉辉塑胶五金有限公司,助理会计师,6-7千,东莞,2年,大专,"会计
审计
总账
制造业
带薪年假
年终奖金
五险
免费班车
五险一金
员工旅游",已上市  |  1000-5000人,办公用品及设备,东莞,6000-7000,6000,7000
上海全丽生物科技有限公司,会计主管,8千-1.2万,上海・金山区,2年,本科,"财务
会计
财务管理
鼎捷
五险一金
专业培训
年终奖金
带薪年假
出国机会",外资（非欧美）  |  50-150人,快速消费品(食品、饮料、化妆品),上海,8000-12000,8000,12000
上海欧米尼医药科技有限公司,资金会计,6-9千・15薪,上海・虹口区,3-4年,大专,"费用报销
银行账户
发票
资金会计
系统上线
医药企业
银行对账
五险一金
餐饮补贴
专业培训
绩效奖金
定期体检",合资  |  150-500人,制药/生物工程,上海,6000-9000,6000,9000
佛山市圣邦医药有限公司,会计专员,4.5-6千,佛山・南海区,1年,中技/中专,"财务
财务主管
会计助理
财务助理
会计主管
出纳
总账会计
税务
绩效奖金
弹性工作
带薪年假
包吃
包住宿
交通补贴
高温补贴
专业培训
节日福利
全勤奖",民营  |  150-500人,医疗/护理/卫生,佛山,4500-6000,4500,6000
芜湖云一新材料科技有限公司,成本会计,1-1.2万,芜湖,5-7年,本科,"五险一金
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检",民营  |  50-150人,新能源,芜湖,10000-12000,10000,12000
澳大利亚威特豪斯(白马)国际集团,会计助理,7-8.5千,上海・虹口区,1年,本科,五险一金,民营  |  50-150人,多元化业务集团公司,上海,7000-8500,7000,8500
深圳市华美盛业投资发展有限公司,财务会计,8千-1.3万,深圳・南山区,1年,本科,"财务、会计
五险一金
定期体检
年终奖金
员工旅游
专业培训
提供工作午餐
节日费",民营  |  50-150人,建筑/建材/工程,深圳,8000-13000,8000,13000
青岛联凯建筑工程有限公司,博茨瓦纳-房地产会计,2-3万・15薪,青岛・市南区,3-4年,本科,"会计
房地产行业
五险一金
年终奖金",民营  |  10000人以上,建筑/建材/工程,青岛,20000-30000,20000,30000
广州网道科技有限公司,财务会计,6.5-8千,广州・天河区,2年,大专,"带薪年假
五险一金
节日福利
绩效奖金
专业培训
员工旅游
年终奖金",民营  |  50-150人,互联网/电子商务,广州,6500-8000,6500,8000
广东宏海进出口咨询有限公司,财务内账会计,4-5千,东莞・南城区,2年,中技/中专,"出纳
五险一金
员工旅游
专业培训
出国机会
周末双休
加班补贴
带薪年假",民营  |  50-150人,贸易/进出口,东莞,4000-5000,4000,5000
杭州特盈能源技术发展有限公司,成本会计,9千-1.5万・13薪,上海・浦东新区,5-7年,本科,"五险一金
年终奖金
双休
餐饮补贴",民营  |  50-150人,机械/设备/重工,上海,9000-15000,9000,15000
广州市源沅财务管理有限公司,执业注册会计师,15-20万/年,广州・白云区,5-7年,本科,"注册会计师
会计事务所
审计事务所
事务所***
员工旅游
交通补贴
餐饮补贴
专业培训
绩效奖金",民营  |  150-500人,专业服务(咨询、人力资源、财会),广州,nan,,
河南德汇信息科技有限公司,财务会计专员,6千-1万,郑州,1年,大专,"会计
会计核算
报销
统计
报税
税务
单据审核
财务会计报表
银行收付处理
账务登记
五险一金
补充公积金
餐饮补贴
员工旅游
专业培训
绩效奖金
定期体检
股票期权
弹性工作
年终奖金",民营  |  1000-5000人,电子技术/半导体/集成电路,郑州,6000-10000,6000,10000
广东宏海进出口咨询有限公司,税务会计,6千-1万,东莞・南城区,3-4年,大专,"资深会计
外帐会计
代理记帐会计
五险一金
员工旅游
专业培训
出国机会
周末双休
加班补贴
带薪年假",民营  |  50-150人,贸易/进出口,东莞,6000-10000,6000,10000
深圳飞瑞电子科技有限公司,会计助理,6千-1.2万,深圳・南山区,1年,本科,"办公软件
excel
财务
财务报表
对账
跨境电商
电商行业
库存
数据报表
全盘账务处理
员工旅游
绩效奖金
年终奖金
全勤奖
节日福利
加班补贴
五险一金
餐饮补贴
弹性工作",民营  |  50-150人,贸易/进出口,深圳,6000-12000,6000,12000
合肥天汇生物科技有限公司,核算会计,5-8千,德州,3-4年,本科,"会计
五险一金
餐饮补贴
专业培训
绩效奖金
年终奖金
弹性工作
定期体检",民营  |  150-500人,制药/生物工程,德州,5000-8000,5000,8000
长沙云晟电气贸易有限公司,一般纳税人全盘会计,4-5千,长沙,2年,大专,"总账会计
会计主管
会计
带薪年假
包吃
包住宿
节日福利
出国游",民营  |  少于50人,建筑/建材/工程,长沙,4000-5000,4000,5000
中科软科技股份有限公司,财务会计,6-8千,北京,1年,本科,"五险一金
补充医疗保险
员工旅游
餐饮补贴
定期体检
绩效奖金
拓展
入职培训
岗位培训",国企  |  5000-10000人,计算机软件,北京,6000-8000,6000,8000
北京博华电子信息有限公司,会计,6-8千・13薪,北京,5-7年,大专,"财务
会计
记帐
财务会计
财务报表
凭证编制
五险一金
餐饮补贴
通讯补贴
十三薪",民营  |  50-150人,计算机服务(系统、数据服务、维修),北京,6000-8000,6000,8000
昌龙科技（阳江）有限公司,会计员,4-5.5千,阳江,3-4年,大专,"会计
金蝶
财务软件
财务核算
会计凭证
税务
财务报表
初级会计证
包三餐
包住宿
免费班车
带薪年假
节日福利
专业培训
加班补贴",民营  |  150-500人,机械/设备/重工,阳江,4000-5500,4000,5500
深圳市天微电子股份有限公司,资产会计,4-5千,贺州,1年,大专,"五险一金
绩效奖金
年终奖金
定期体检",民营  |  150-500人,电子技术/半导体/集成电路,贺州,4000-5000,4000,5000
深圳市瑞成光学有限公司,应收会计(GM202303070001),7千-1.2万,常州・武进区,2年,本科,"sap
应收模块
五险一金
免费班车
专业培训
绩效奖金
年终奖金
股票期权
弹性工作
定期体检
餐饮补贴",民营  |  1000-5000人,电子技术/半导体/集成电路,常州,7000-12000,7000,12000
芜湖市荣联财务顾问有限公司,开票会计,3.5-7千,芜湖,1年,大专,"会计
主办会计
财务
会计助理
财务主管
出纳
核算会计
会计助理
五险一金
包吃
绩效奖金
节日福利
交通补贴
通讯补贴
专业培训",民营  |  少于50人,会计/审计,芜湖,3500-7000,3500,7000
启业建设有限公司,主办会计,7-8千,广州,10年以上,中技/中专,"会计
审计
建筑
施工
五险一金
餐饮补贴
绩效奖金",民营  |  50-150人,建筑/建材/工程,广州,7000-8000,7000,8000
广州回味源蛋类食品有限公司,成本会计,5-7千,广州・白云区,3-4年,大专,"会计核算
控制成本
生产成本核算
督导成本控制
制造业
会计
成本计算
节日福利
岗位补贴
绩效奖金
包吃包住
社保五险",民营  |  150-500人,快速消费品(食品、饮料、化妆品),广州,5000-7000,5000,7000
江苏泰信机械科技有限公司,成本会计,6-8千,无锡・惠山区,3-4年,本科,"成本分析
u8系统
成本核算
员工旅游
餐饮补贴
绩效奖金
年终奖金
专业培训
定期体检
五险一金
补充医疗保险",民营  |  50-150人,机械/设备/重工,无锡,6000-8000,6000,8000
深圳佳成建设工程有限公司,全盘会计,9千-1.3万,深圳・福田区,2年,大专,五险一金,民营  |  50-150人,建筑/建材/工程,深圳,9000-13000,9000,13000
湖北亿纬动力有限公司,成本会计,8千-1.2万・14薪,荆门,3-4年,本科,五险一金,民营  |  5000-10000人,新能源,荆门,8000-12000,8000,12000
林凯企业集团有限公司,财务主管会计（物业方向）,8千-1万,西安,5-7年,大专,"财务管理
会计核算
会计报表
税务管理
应收
带薪年假
绩效奖金
节日福利
五险
定期体检",民营  |  150-500人,房地产,西安,8000-10000,8000,10000
江苏新图机械有限公司,总账会计,8千-1.3万・13薪,苏州・吴江区,5-7年,大专,"财务
五险一金
补充公积金
员工旅游
餐饮补贴
年终奖金",民营  |  50-150人,机械/设备/重工,苏州,8000-13000,8000,13000
湖南中扬环保科技有限公司,财务会计,3.5-4.5千,长沙・雨花区,3-4年,大专,"五险一金
年底双薪
绩效奖金
全勤奖
员工旅游
高温补贴
节日福利
不加班",民营  |  50-150人,环保,长沙,3500-4500,3500,4500
智安达（上海）轮胎服务有限公司,资金会计（偏出纳）,6-9千,上海・青浦区,2年,本科,"资金专员
出纳
五险一金
补充公积金
交通补贴
餐饮补贴
通讯补贴
绩效奖金
年终奖金
弹性工作",民营  |  少于50人,汽车,上海,6000-9000,6000,9000
成都贝高贝实业有限责任公司,税务会计,6-8千,重庆・铜梁区,5-7年,大专,"包三餐
包住宿
节日福利
全勤奖
专业培训
员工旅游",民营  |  150-500人,机械/设备/重工,重庆,6000-8000,6000,8000
深圳市文丰装饰创新科技有限公司,会计专员,7-9千,深圳・南山区,2年,大专,"员工旅游
五险一金
带薪年假",民营  |  50-150人,家居/室内设计/装潢,深圳,7000-9000,7000,9000
红河鑫胜建设工程有限公司,会计,3.5-5千・13薪,红河州,2年,大专,"周末双休
包午餐
年底双薪
节假日休",民营  ,建筑/建材/工程,红河,3500-5000,3500,5000
上海市医药学校,资产财务处会计,7-9千,上海,无需经验,本科,"会计
财务管理
财务
餐饮补贴
专业培训
五险一金
交通补贴
定期体检",事业单位  |  500-1000人,教育/培训/院校,上海,7000-9000,7000,9000
武汉百耐流体控制设备有限公司,会计专员,4.5-6.5千,黄冈,2年,大专,"会计
五险一金
免费班车
餐饮补贴
年终奖金",民营  |  50-150人,机械/设备/重工,黄冈,4500-6500,4500,6500
浙江飞哲科技股份有限公司,助理会计,4.5-7千,金华,1年,本科,"会计
审计
数据分析
电商
助理
财会管理
绩效奖金
专业培训",民营  |  1000-5000人,家具/家电/玩具/礼品,金华,4500-7000,4500,7000
广东生和堂健康食品股份有限公司,会计员,3.5-4.5千,江门,1年,本科,"财务
总账会计
五险一金
包三餐
包住宿
节日福利
带薪年假
员工旅游",民营  |  500-1000人,快速消费品(食品、饮料、化妆品),江门,3500-4500,3500,4500
杭州汇中科技有限公司,财务会计,6.5-8千,杭州・萧山区,2年,大专,"带薪年假
绩效奖金
交通补贴
通讯补贴
周末双休
节日福利
五险",民营  |  少于50人,仪器仪表/工业自动化,杭州,6500-8000,6500,8000
科稳智慧（武汉）技术有限公司,会计,5-7千,武汉・江夏区,2年,大专,"财务
会计
税务
报税
审计
交通补贴
餐饮补贴
通讯补贴
节日福利
社保
定期体检
年终奖金
员工旅游",民营  |  50-150人,仪器仪表/工业自动化,武汉,5000-7000,5000,7000
广州幸福树科技有限公司,总账会计-入职五险一金,9千-1.1万,上海,3-4年,大专,"总账
sap系统
会计
会计报表
财务流程
存货盘点表
账务处理
财务核算
会计准则
五险一金
弹性工作
专业培训
周末双休
补充公积金
绩效奖金",民营  |  150-500人,互联网/电子商务,上海,9000-11000,9000,11000
广东泰升药业有限公司,应收会计,5-8千,佛山,3-4年,大专,"应收回款
往来
会计
对账单
社会保险
专业培训
年终奖金
弹性工作
定期体检
包三餐
包住宿
节日福利
带薪年假",民营  |  500-1000人,制药/生物工程,佛山,5000-8000,5000,8000
